Age Group,Year,Number,Rate,Sex
12–13 years,2020,6911,1069.1,Unknown
14–17 years,2020,36279,3021.1,Unknown
10–11 years,2021,1316,201.5,Unknown
12–13 years,2021,7005,1073.5,Unknown
14–17 years,2021,36890,2982.4,Unknown
10–11 years,2022,1390,210.9,Unknown
12–13 years,2022,7996,1212.0,Unknown
14–17 years,2022,38621,3016.6,Unknown
10–11 years,2023,1317,197.6,Unknown
12–13 years,2023,7317,1098.6,Unknown
14–17 years,2023,38163,2891.3,Unknown
10–11 years,2024,1108,165.8,Unknown
12–13 years,2024,6555,973.2,Unknown
14–17 years,2024,36919,2746.7,Unknown
