Offence,Year,Number,Rate,State
Public order offences,2012,1460,305.2,Queensland
Offences against justice,2012,231,48.3,Queensland
Miscellaneous offences,2012,0,0.0,Queensland
Acts intended to cause injury,2013,1637,341.2,Queensland
Sexual assault and related offences,2013,725,151.1,Queensland
Dangerous/negligent acts,2013,114,23.8,Queensland
Abduction/harassment,2013,4,0.8,Queensland
Robbery/extortion,2013,212,44.2,Queensland
Unlawful entry with intent,2013,1666,347.3,Queensland
Theft,2013,2750,573.2,Queensland
Fraud/deception,2013,168,35.0,Queensland
Illicit drug offences,2013,2301,479.6,Queensland
Weapons/explosives,2013,231,48.2,Queensland
Property damage and environmental pollution,2013,940,195.9,Queensland
Public order offences,2013,1413,294.5,Queensland
Offences against justice,2013,197,41.1,Queensland
Miscellaneous offences,2013,0,0.0,Queensland
Acts intended to cause injury,2014,1632,338.8,Queensland
Sexual assault and related offences,2014,832,172.7,Queensland
Dangerous/negligent acts,2014,123,25.5,Queensland
Abduction/harassment,2014,5,1.0,Queensland
Robbery/extortion,2014,218,45.3,Queensland
Unlawful entry with intent,2014,1444,299.8,Queensland
Theft,2014,2696,559.7,Queensland
Fare evasion,2014,163,33.8,Queensland
Fraud/deception,2014,209,43.4,Queensland
Illicit drug offences,2014,2668,553.9,Queensland
Weapons/explosives,2014,231,48.0,Queensland
Property damage and environmental pollution,2014,928,192.6,Queensland
Public order offences,2014,1212,251.6,Queensland
Offences against justice,2014,183,38.0,Queensland
Miscellaneous offences,2014,0,0.0,Queensland
Acts intended to cause injury,2015,1625,334.3,Queensland
Sexual assault and related offences,2015,787,161.9,Queensland
Dangerous/negligent acts,2015,113,23.2,Queensland
Abduction/harassment,2015,5,1.0,Queensland
Robbery/extortion,2015,240,49.4,Queensland
Unlawful entry with intent,2015,1661,341.7,Queensland
Theft,2015,2658,546.9,Queensland
Fare evasion,2015,230,47.3,Queensland
Fraud/deception,2015,158,32.5,Queensland
Illicit drug offences,2015,2542,523.0,Queensland
Weapons/explosives,2015,217,44.6,Queensland
Property damage and environmental pollution,2015,875,180.0,Queensland
Public order offences,2015,1197,246.3,Queensland
Offences against justice,2015,169,34.8,Queensland
Miscellaneous offences,2015,7,1.4,Queensland
Acts intended to cause injury,2016,1792,361.7,Queensland
Sexual assault and related offences,2016,648,130.8,Queensland
Dangerous/negligent acts,2016,125,25.2,Queensland
Abduction/harassment,2016,3,0.6,Queensland
Robbery/extortion,2016,301,60.8,Queensland
Unlawful entry with intent,2016,1756,354.4,Queensland
Theft,2016,2505,505.6,Queensland
Fare evasion,2016,243,49.0,Queensland
Fraud/deception,2016,210,42.4,Queensland
Illicit drug offences,2016,2430,490.5,Queensland
Weapons/explosives,2016,211,42.6,Queensland
Property damage and environmental pollution,2016,870,175.6,Queensland
Public order offences,2016,1148,231.7,Queensland
Offences against justice,2016,149,30.1,Queensland
Miscellaneous offences,2016,14,2.8,Queensland
Acts intended to cause injury,2017,1996,394.6,Queensland
Sexual assault and related offences,2017,586,115.8,Queensland
Dangerous/negligent acts,2017,103,20.4,Queensland
Abduction/harassment,2017,7,1.4,Queensland
Robbery/extortion,2017,424,83.8,Queensland
Unlawful entry with intent,2017,1633,322.8,Queensland
Theft,2017,2424,479.2,Queensland
Fare evasion,2017,240,47.4,Queensland
Fraud/deception,2017,219,43.3,Queensland
Illicit drug offences,2017,2286,451.9,Queensland
Weapons/explosives,2017,212,41.9,Queensland
Property damage and environmental pollution,2017,764,151.0,Queensland
Public order offences,2017,1022,202.0,Queensland
Offences against justice,2017,154,30.4,Queensland
Miscellaneous offences,2017,7,1.4,Queensland
Acts intended to cause injury,2018,1999,387.0,Queensland
Sexual assault and related offences,2018,552,106.9,Queensland
Dangerous/negligent acts,2018,119,23.0,Queensland
Abduction/harassment,2018,13,2.5,Queensland
Robbery/extortion,2018,498,96.4,Queensland
Unlawful entry with intent,2018,1516,293.5,Queensland
Theft,2018,2240,433.7,Queensland
Fare evasion,2018,224,43.4,Queensland
Fraud/deception,2018,215,41.6,Queensland
Illicit drug offences,2018,2230,431.7,Queensland
Weapons/explosives,2018,216,41.8,Queensland
Property damage and environmental pollution,2018,710,137.5,Queensland
Public order offences,2018,779,150.8,Queensland
Offences against justice,2018,121,23.4,Queensland
Miscellaneous offences,2018,14,2.7,Queensland
Acts intended to cause injury,2019,1962,371.5,Queensland
Sexual assault and related offences,2019,621,117.6,Queensland
Dangerous/negligent acts,2019,67,12.7,Queensland
Abduction/harassment,2019,7,1.3,Queensland
Robbery/extortion,2019,546,103.4,Queensland
Unlawful entry with intent,2019,1402,265.4,Queensland
Theft,2019,1985,375.8,Queensland
Fare evasion,2019,117,22.2,Queensland
Fraud/deception,2019,179,33.9,Queensland
Illicit drug offences,2019,2147,406.5,Queensland
Weapons/explosives,2019,221,41.8,Queensland
Property damage and environmental pollution,2019,680,128.7,Queensland
Public order offences,2019,660,125.0,Queensland
Offences against justice,2019,98,18.6,Queensland
Miscellaneous offences,2019,41,7.8,Queensland
Acts intended to cause injury,2020,2220,411.4,Queensland
Sexual assault and related offences,2020,645,119.5,Queensland
Dangerous/negligent acts,2020,114,21.1,Queensland
Abduction/harassment,2020,3,0.6,Queensland
Robbery/extortion,2020,492,91.2,Queensland
Unlawful entry with intent,2020,1259,233.3,Queensland
Theft,2020,1511,280.0,Queensland
Fare evasion,2020,83,15.4,Queensland
Fraud/deception,2020,166,30.8,Queensland
Illicit drug offences,2020,1736,321.7,Queensland
Weapons/explosives,2020,211,39.1,Queensland
Property damage and environmental pollution,2020,702,130.1,Queensland
Public order offences,2020,703,130.3,Queensland
Offences against justice,2020,127,23.5,Queensland
Miscellaneous offences,2020,29,5.4,Queensland
Acts intended to cause injury,2021,2221,401.6,Queensland
Sexual assault and related offences,2021,644,116.5,Queensland
Dangerous/negligent acts,2021,109,19.7,Queensland
Abduction/harassment,2021,0,0.0,Queensland
Robbery/extortion,2021,523,94.6,Queensland
Unlawful entry with intent,2021,1388,251.0,Queensland
Theft,2021,1655,299.3,Queensland
Fare evasion,2021,31,5.6,Queensland
Fraud/deception,2021,141,25.5,Queensland
Illicit drug offences,2021,1465,264.9,Queensland
Weapons/explosives,2021,207,37.4,Queensland
Property damage and environmental pollution,2021,757,136.9,Queensland
Public order offences,2021,688,124.4,Queensland
Offences against justice,2021,101,18.3,Queensland
Miscellaneous offences,2021,37,6.7,Queensland
Acts intended to cause injury,2022,2518,445.5,Queensland
Sexual assault and related offences,2022,668,118.2,Queensland
Dangerous/negligent acts,2022,128,22.6,Queensland
Abduction/harassment,2022,8,1.4,Queensland
Robbery/extortion,2022,576,101.9,Queensland
Unlawful entry with intent,2022,1432,253.3,Queensland
Theft,2022,1794,317.4,Queensland
Fare evasion,2022,35,6.2,Queensland
Fraud/deception,2022,130,23.0,Queensland
Illicit drug offences,2022,1490,263.6,Queensland
Weapons/explosives,2022,205,36.3,Queensland
Property damage and environmental pollution,2022,704,124.5,Queensland
Public order offences,2022,692,122.4,Queensland
Offences against justice,2022,111,19.6,Queensland
Miscellaneous offences,2022,37,6.5,Queensland
Acts intended to cause injury,2023,2581,447.5,Queensland
Sexual assault and related offences,2023,679,117.7,Queensland
Dangerous/negligent acts,2023,106,18.4,Queensland
Abduction/harassment,2023,6,1.0,Queensland
Robbery/extortion,2023,606,105.1,Queensland
Unlawful entry with intent,2023,1423,246.7,Queensland
Theft,2023,1718,297.9,Queensland
Fare evasion,2023,57,9.9,Queensland
Fraud/deception,2023,131,22.7,Queensland
Illicit drug offences,2023,1223,212.0,Queensland
Weapons/explosives,2023,225,39.0,Queensland
Property damage and environmental pollution,2023,717,124.3,Queensland
Public order offences,2023,632,109.6,Queensland
Offences against justice,2023,105,18.2,Queensland
Miscellaneous offences,2023,37,6.4,Queensland
Acts intended to cause injury,2024,2379,409.1,Queensland
Sexual assault and related offences,2024,493,84.8,Queensland
Dangerous/negligent acts,2024,124,21.3,Queensland
Abduction/harassment,2024,4,0.7,Queensland
Robbery/extortion,2024,487,83.8,Queensland
Unlawful entry with intent,2024,1189,204.5,Queensland
Theft,2024,1701,292.5,Queensland
Fare evasion,2024,13,2.2,Queensland
Fraud/deception,2024,97,16.7,Queensland
Illicit drug offences,2024,1178,202.6,Queensland
Weapons/explosives,2024,220,37.8,Queensland
Property damage and environmental pollution,2024,684,117.6,Queensland
Public order offences,2024,588,101.1,Queensland
Offences against justice,2024,115,19.8,Queensland
Miscellaneous offences,2024,24,4.1,Queensland
Acts intended to cause injury,2008,943,580.6,South Australia
Sexual assault and related offences,2008,96,59.1,South Australia
Dangerous/negligent acts,2008,24,14.8,South Australia
Abduction/harassment,2008,21,12.9,South Australia
Robbery/extortion,2008,89,54.8,South Australia
Unlawful entry with intent,2008,561,345.4,South Australia
Theft,2008,1093,673.0,South Australia
Fraud/deception,2008,18,11.1,South Australia
Illicit drug offences,2008,675,415.6,South Australia
Weapons/explosives,2008,245,150.9,South Australia
Property damage and environmental pollution,2008,617,379.9,South Australia
Public order offences,2008,1076,662.5,South Australia
Offences against justice,2008,224,137.9,South Australia
Miscellaneous offences,2008,17,10.5,South Australia
Acts intended to cause injury,2009,960,592.6,South Australia
Sexual assault and related offences,2009,84,51.8,South Australia
Dangerous/negligent acts,2009,13,8.0,South Australia
Abduction/harassment,2009,31,19.1,South Australia
Robbery/extortion,2009,101,62.3,South Australia
Unlawful entry with intent,2009,613,378.4,South Australia
Theft,2009,1166,719.7,South Australia
Fraud/deception,2009,30,18.5,South Australia
Illicit drug offences,2009,754,465.4,South Australia
Weapons/explosives,2009,214,132.1,South Australia
Property damage and environmental pollution,2009,530,327.1,South Australia
Public order offences,2009,723,446.3,South Australia
Offences against justice,2009,116,71.6,South Australia
Miscellaneous offences,2009,22,13.6,South Australia
Acts intended to cause injury,2010,915,567.8,South Australia
Sexual assault and related offences,2010,96,59.6,South Australia
Dangerous/negligent acts,2010,14,8.7,South Australia
Abduction/harassment,2010,18,11.2,South Australia
Robbery/extortion,2010,120,74.5,South Australia
Unlawful entry with intent,2010,532,330.1,South Australia
Theft,2010,1032,640.4,South Australia
Fraud/deception,2010,40,24.8,South Australia
Illicit drug offences,2010,893,554.1,South Australia
Weapons/explosives,2010,186,115.4,South Australia
Property damage and environmental pollution,2010,453,281.1,South Australia
Public order offences,2010,820,508.8,South Australia
Offences against justice,2010,120,74.5,South Australia
Miscellaneous offences,2010,9,5.6,South Australia
Acts intended to cause injury,2011,751,468.4,South Australia
Sexual assault and related offences,2011,123,76.7,South Australia
Dangerous/negligent acts,2011,13,8.1,South Australia
Abduction/harassment,2011,17,10.6,South Australia
Robbery/extortion,2011,91,56.8,South Australia
Unlawful entry with intent,2011,274,170.9,South Australia
Theft,2011,923,575.7,South Australia
Fraud/deception,2011,16,10.0,South Australia
Illicit drug offences,2011,835,520.8,South Australia
Weapons/explosives,2011,189,117.9,South Australia
Property damage and environmental pollution,2011,501,312.5,South Australia
Public order offences,2011,548,341.8,South Australia
Offences against justice,2011,60,37.4,South Australia
Miscellaneous offences,2011,11,6.9,South Australia
Acts intended to cause injury,2012,765,480.0,South Australia
Sexual assault and related offences,2012,121,75.9,South Australia
Dangerous/negligent acts,2012,26,16.3,South Australia
Abduction/harassment,2012,10,6.3,South Australia
Robbery/extortion,2012,76,47.7,South Australia
Unlawful entry with intent,2012,268,168.2,South Australia
Theft,2012,949,595.5,South Australia
Fraud/deception,2012,17,10.7,South Australia
Illicit drug offences,2012,892,559.7,South Australia
Weapons/explosives,2012,136,85.3,South Australia
Property damage and environmental pollution,2012,460,288.6,South Australia
Public order offences,2012,667,418.5,South Australia
Offences against justice,2012,53,33.3,South Australia
Miscellaneous offences,2012,49,30.7,South Australia
Acts intended to cause injury,2013,644,406.2,South Australia
Sexual assault and related offences,2013,176,111.0,South Australia
Dangerous/negligent acts,2013,26,16.4,South Australia
Abduction/harassment,2013,31,19.6,South Australia
Robbery/extortion,2013,97,61.2,South Australia
Unlawful entry with intent,2013,187,118.0,South Australia
Theft,2013,1161,732.3,South Australia
Fraud/deception,2013,14,8.8,South Australia
Illicit drug offences,2013,874,551.3,South Australia
Weapons/explosives,2013,130,82.0,South Australia
Property damage and environmental pollution,2013,286,180.4,South Australia
Public order offences,2013,624,393.6,South Australia
Offences against justice,2013,49,30.9,South Australia
Miscellaneous offences,2013,46,29.0,South Australia
Acts intended to cause injury,2014,622,393.4,South Australia
Sexual assault and related offences,2014,228,144.2,South Australia
Dangerous/negligent acts,2014,17,10.8,South Australia
Abduction/harassment,2014,26,16.4,South Australia
Robbery/extortion,2014,61,38.6,South Australia
Unlawful entry with intent,2014,173,109.4,South Australia
Theft,2014,518,327.6,South Australia
Fare evasion,2014,643,406.7,South Australia
Fraud/deception,2014,24,15.2,South Australia
Illicit drug offences,2014,897,567.4,South Australia
Weapons/explosives,2014,120,75.9,South Australia
Property damage and environmental pollution,2014,292,184.7,South Australia
Public order offences,2014,544,344.1,South Australia
Offences against justice,2014,40,25.3,South Australia
Miscellaneous offences,2014,41,25.9,South Australia
Acts intended to cause injury,2015,651,411.6,South Australia
Sexual assault and related offences,2015,174,110.0,South Australia
Dangerous/negligent acts,2015,14,8.9,South Australia
Abduction/harassment,2015,27,17.1,South Australia
Robbery/extortion,2015,70,44.3,South Australia
Unlawful entry with intent,2015,150,94.8,South Australia
Theft,2015,573,362.3,South Australia
Fare evasion,2015,1003,634.2,South Australia
Fraud/deception,2015,12,7.6,South Australia
Illicit drug offences,2015,820,518.5,South Australia
Weapons/explosives,2015,106,67.0,South Australia
Property damage and environmental pollution,2015,268,169.4,South Australia
Public order offences,2015,462,292.1,South Australia
Offences against justice,2015,47,29.7,South Australia
Miscellaneous offences,2015,26,16.4,South Australia
Acts intended to cause injury,2016,583,366.4,South Australia
Sexual assault and related offences,2016,168,105.6,South Australia
Dangerous/negligent acts,2016,19,11.9,South Australia
Abduction/harassment,2016,21,13.2,South Australia
Robbery/extortion,2016,52,32.7,South Australia
Unlawful entry with intent,2016,231,145.2,South Australia
Theft,2016,544,341.9,South Australia
Fare evasion,2016,1112,698.8,South Australia
Fraud/deception,2016,12,7.5,South Australia
Illicit drug offences,2016,810,509.1,South Australia
Weapons/explosives,2016,112,70.4,South Australia
Property damage and environmental pollution,2016,233,146.4,South Australia
Public order offences,2016,474,297.9,South Australia
Offences against justice,2016,25,15.7,South Australia
Miscellaneous offences,2016,40,25.1,South Australia
Acts intended to cause injury,2017,660,411.0,South Australia
Sexual assault and related offences,2017,185,115.2,South Australia
Dangerous/negligent acts,2017,28,17.4,South Australia
Abduction/harassment,2017,19,11.8,South Australia
Robbery/extortion,2017,49,30.5,South Australia
Unlawful entry with intent,2017,171,106.5,South Australia
Theft,2017,526,327.6,South Australia
Fare evasion,2017,489,304.5,South Australia
Fraud/deception,2017,15,9.3,South Australia
Illicit drug offences,2017,701,436.6,South Australia
Weapons/explosives,2017,139,86.6,South Australia
Property damage and environmental pollution,2017,262,163.2,South Australia
Public order offences,2017,452,281.5,South Australia
Offences against justice,2017,47,29.3,South Australia
Miscellaneous offences,2017,41,25.5,South Australia
Acts intended to cause injury,2018,631,388.2,South Australia
Sexual assault and related offences,2018,125,76.9,South Australia
Dangerous/negligent acts,2018,20,12.3,South Australia
Abduction/harassment,2018,20,12.3,South Australia
Robbery/extortion,2018,59,36.3,South Australia
Unlawful entry with intent,2018,218,134.1,South Australia
Theft,2018,375,230.7,South Australia
Fare evasion,2018,478,294.1,South Australia
Fraud/deception,2018,3,1.8,South Australia
Illicit drug offences,2018,669,411.6,South Australia
Weapons/explosives,2018,110,67.7,South Australia
Property damage and environmental pollution,2018,177,108.9,South Australia
Public order offences,2018,407,250.4,South Australia
Offences against justice,2018,48,29.5,South Australia
Miscellaneous offences,2018,26,16.0,South Australia
Acts intended to cause injury,2019,557,337.1,South Australia
Sexual assault and related offences,2019,87,52.7,South Australia
Dangerous/negligent acts,2019,3,1.8,South Australia
Abduction/harassment,2019,12,7.3,South Australia
Robbery/extortion,2019,79,47.8,South Australia
Unlawful entry with intent,2019,278,168.3,South Australia
Theft,2019,296,179.1,South Australia
Fare evasion,2019,323,195.5,South Australia
Fraud/deception,2019,13,7.9,South Australia
Illicit drug offences,2019,510,308.7,South Australia
Weapons/explosives,2019,118,71.4,South Australia
Property damage and environmental pollution,2019,157,95.0,South Australia
Public order offences,2019,275,166.4,South Australia
Offences against justice,2019,21,12.7,South Australia
Miscellaneous offences,2019,57,34.5,South Australia
Acts intended to cause injury,2020,592,353.3,South Australia
Sexual assault and related offences,2020,90,53.7,South Australia
Dangerous/negligent acts,2020,4,2.4,South Australia
Abduction/harassment,2020,11,6.6,South Australia
Robbery/extortion,2020,58,34.6,South Australia
Unlawful entry with intent,2020,248,148.0,South Australia
Theft,2020,249,148.6,South Australia
Fare evasion,2020,32,19.1,South Australia
Fraud/deception,2020,9,5.4,South Australia
Illicit drug offences,2020,353,210.7,South Australia
Weapons/explosives,2020,111,66.2,South Australia
Property damage and environmental pollution,2020,143,85.3,South Australia
Public order offences,2020,112,66.8,South Australia
Offences against justice,2020,39,23.3,South Australia
Miscellaneous offences,2020,32,19.1,South Australia
Acts intended to cause injury,2021,563,331.6,South Australia
Sexual assault and related offences,2021,41,24.1,South Australia
Dangerous/negligent acts,2021,6,3.5,South Australia
Abduction/harassment,2021,11,6.5,South Australia
Robbery/extortion,2021,63,37.1,South Australia
Unlawful entry with intent,2021,212,124.9,South Australia
Theft,2021,239,140.8,South Australia
Fare evasion,2021,23,13.5,South Australia
Fraud/deception,2021,6,3.5,South Australia
Illicit drug offences,2021,305,179.6,South Australia
Weapons/explosives,2021,124,73.0,South Australia
Property damage and environmental pollution,2021,119,70.1,South Australia
Public order offences,2021,117,68.9,South Australia
Offences against justice,2021,34,20.0,South Australia
Miscellaneous offences,2021,82,48.3,South Australia
Acts intended to cause injury,2022,611,353.1,South Australia
Sexual assault and related offences,2022,58,33.5,South Australia
Dangerous/negligent acts,2022,5,2.9,South Australia
Abduction/harassment,2022,23,13.3,South Australia
Robbery/extortion,2022,94,54.3,South Australia
Unlawful entry with intent,2022,175,101.1,South Australia
Theft,2022,281,162.4,South Australia
Fare evasion,2022,46,26.6,South Australia
Fraud/deception,2022,13,7.5,South Australia
Illicit drug offences,2022,353,204.0,South Australia
Weapons/explosives,2022,156,90.2,South Australia
Property damage and environmental pollution,2022,133,76.9,South Australia
Public order offences,2022,186,107.5,South Australia
Offences against justice,2022,29,16.8,South Australia
Miscellaneous offences,2022,27,15.6,South Australia
Acts intended to cause injury,2023,562,318.8,South Australia
Sexual assault and related offences,2023,34,19.3,South Australia
Dangerous/negligent acts,2023,8,4.5,South Australia
Abduction/harassment,2023,4,2.3,South Australia
Robbery/extortion,2023,105,59.6,South Australia
Unlawful entry with intent,2023,182,103.2,South Australia
Theft,2023,204,115.7,South Australia
Fare evasion,2023,36,20.4,South Australia
Fraud/deception,2023,3,1.7,South Australia
Illicit drug offences,2023,248,140.7,South Australia
Weapons/explosives,2023,119,67.5,South Australia
Property damage and environmental pollution,2023,109,61.8,South Australia
Public order offences,2023,171,97.0,South Australia
Offences against justice,2023,34,19.3,South Australia
Miscellaneous offences,2023,6,3.4,South Australia
Acts intended to cause injury,2024,600,337.1,South Australia
Sexual assault and related offences,2024,53,29.8,South Australia
Dangerous/negligent acts,2024,12,6.7,South Australia
Abduction/harassment,2024,17,9.6,South Australia
Robbery/extortion,2024,108,60.7,South Australia
Unlawful entry with intent,2024,192,107.9,South Australia
Theft,2024,256,143.8,South Australia
Fare evasion,2024,70,39.3,South Australia
Fraud/deception,2024,9,5.1,South Australia
Illicit drug offences,2024,275,154.5,South Australia
Weapons/explosives,2024,141,79.2,South Australia
Property damage and environmental pollution,2024,128,71.9,South Australia
Public order offences,2024,182,102.2,South Australia
Offences against justice,2024,41,23.0,South Australia
Miscellaneous offences,2024,19,10.7,South Australia
Acts intended to cause injury,2008,1819,771.3,Western Australia
Sexual assault and related offences,2008,147,62.3,Western Australia
Dangerous/negligent acts,2008,10,4.2,Western Australia
Abduction/harassment,2008,411,174.3,Western Australia
Robbery/extortion,2008,254,107.7,Western Australia
Unlawful entry with intent,2008,1270,538.5,Western Australia
Theft,2008,2701,1145.3,Western Australia
Fraud/deception,2008,223,94.6,Western Australia
Illicit drug offences,2008,690,292.6,Western Australia
Weapons/explosives,2008,208,88.2,Western Australia
Property damage and environmental pollution,2008,1181,500.8,Western Australia
Public order offences,2008,1000,424.0,Western Australia
Offences against justice,2008,125,53.0,Western Australia
Miscellaneous offences,2008,9,3.8,Western Australia
Acts intended to cause injury,2009,1970,829.3,Western Australia
Sexual assault and related offences,2009,196,82.5,Western Australia
Dangerous/negligent acts,2009,26,10.9,Western Australia
Abduction/harassment,2009,435,183.1,Western Australia
Robbery/extortion,2009,315,132.6,Western Australia
Unlawful entry with intent,2009,1550,652.5,Western Australia
Theft,2009,3136,1320.2,Western Australia
Fraud/deception,2009,241,101.5,Western Australia
Illicit drug offences,2009,739,311.1,Western Australia
Weapons/explosives,2009,241,101.5,Western Australia
Property damage and environmental pollution,2009,1232,518.6,Western Australia
Public order offences,2009,1048,441.2,Western Australia
Offences against justice,2009,165,69.5,Western Australia
Miscellaneous offences,2009,5,2.1,Western Australia
Acts intended to cause injury,2010,2158,901.6,Western Australia
Sexual assault and related offences,2010,196,81.9,Western Australia
Dangerous/negligent acts,2010,12,5.0,Western Australia
Abduction/harassment,2010,417,174.2,Western Australia
Robbery/extortion,2010,343,143.3,Western Australia
Unlawful entry with intent,2010,1743,728.2,Western Australia
Theft,2010,2856,1193.2,Western Australia
Fraud/deception,2010,258,107.8,Western Australia
Illicit drug offences,2010,726,303.3,Western Australia
Weapons/explosives,2010,243,101.5,Western Australia
Property damage and environmental pollution,2010,1308,546.5,Western Australia
Public order offences,2010,1082,452.0,Western Australia
Offences against justice,2010,109,45.5,Western Australia
Miscellaneous offences,2010,16,6.7,Western Australia
Acts intended to cause injury,2011,1526,631.8,Western Australia
Sexual assault and related offences,2011,150,62.1,Western Australia
Dangerous/negligent acts,2011,14,5.8,Western Australia
Abduction/harassment,2011,313,129.6,Western Australia
Robbery/extortion,2011,256,106.0,Western Australia
Unlawful entry with intent,2011,1309,542.0,Western Australia
Theft,2011,2200,910.9,Western Australia
Fraud/deception,2011,127,52.6,Western Australia
Illicit drug offences,2011,530,219.4,Western Australia
Weapons/explosives,2011,145,60.0,Western Australia
Property damage and environmental pollution,2011,838,347.0,Western Australia
Public order offences,2011,757,313.4,Western Australia
Offences against justice,2011,113,46.8,Western Australia
Miscellaneous offences,2011,9,3.7,Western Australia
Acts intended to cause injury,2012,1163,478.6,Western Australia
Sexual assault and related offences,2012,151,62.1,Western Australia
Dangerous/negligent acts,2012,18,7.4,Western Australia
Abduction/harassment,2012,311,128.0,Western Australia
Robbery/extortion,2012,209,86.0,Western Australia
Unlawful entry with intent,2012,1150,473.2,Western Australia
Theft,2012,1807,743.6,Western Australia
Fraud/deception,2012,123,50.6,Western Australia
Illicit drug offences,2012,607,249.8,Western Australia
Weapons/explosives,2012,123,50.6,Western Australia
Property damage and environmental pollution,2012,771,317.3,Western Australia
Public order offences,2012,660,271.6,Western Australia
Offences against justice,2012,93,38.3,Western Australia
Miscellaneous offences,2012,7,2.9,Western Australia
Acts intended to cause injury,2013,983,403.9,Western Australia
Sexual assault and related offences,2013,173,71.1,Western Australia
Dangerous/negligent acts,2013,10,4.1,Western Australia
Abduction/harassment,2013,271,111.3,Western Australia
Robbery/extortion,2013,189,77.7,Western Australia
Unlawful entry with intent,2013,1230,505.4,Western Australia
Theft,2013,1280,525.9,Western Australia
Fraud/deception,2013,159,65.3,Western Australia
Illicit drug offences,2013,771,316.8,Western Australia
Weapons/explosives,2013,108,44.4,Western Australia
Property damage and environmental pollution,2013,600,246.5,Western Australia
Public order offences,2013,554,227.6,Western Australia
Offences against justice,2013,89,36.6,Western Australia
Miscellaneous offences,2013,27,11.1,Western Australia
Acts intended to cause injury,2014,1015,416.6,Western Australia
Sexual assault and related offences,2014,177,72.6,Western Australia
Dangerous/negligent acts,2014,15,6.2,Western Australia
Abduction/harassment,2014,278,114.1,Western Australia
Robbery/extortion,2014,149,61.2,Western Australia
Unlawful entry with intent,2014,1138,467.1,Western Australia
Theft,2014,1292,530.3,Western Australia
Fraud/deception,2014,145,59.5,Western Australia
Illicit drug offences,2014,802,329.2,Western Australia
Weapons/explosives,2014,97,39.8,Western Australia
Property damage and environmental pollution,2014,609,250.0,Western Australia
Public order offences,2014,492,201.9,Western Australia
Offences against justice,2014,87,35.7,Western Australia
Miscellaneous offences,2014,55,22.6,Western Australia
Acts intended to cause injury,2015,1053,430.4,Western Australia
Sexual assault and related offences,2015,189,77.2,Western Australia
Dangerous/negligent acts,2015,23,9.4,Western Australia
Abduction/harassment,2015,270,110.4,Western Australia
Robbery/extortion,2015,137,56.0,Western Australia
Unlawful entry with intent,2015,1100,449.6,Western Australia
Theft,2015,1463,597.9,Western Australia
Fraud/deception,2015,127,51.9,Western Australia
Illicit drug offences,2015,824,336.8,Western Australia
Weapons/explosives,2015,121,49.5,Western Australia
Property damage and environmental pollution,2015,574,234.6,Western Australia
Public order offences,2015,465,190.0,Western Australia
Offences against justice,2015,105,42.9,Western Australia
Miscellaneous offences,2015,19,7.8,Western Australia
Acts intended to cause injury,2016,1204,486.4,Western Australia
Sexual assault and related offences,2016,168,67.9,Western Australia
Dangerous/negligent acts,2016,11,4.4,Western Australia
Abduction/harassment,2016,254,102.6,Western Australia
Robbery/extortion,2016,154,62.2,Western Australia
Unlawful entry with intent,2016,1112,449.2,Western Australia
Theft,2016,1349,545.0,Western Australia
Fraud/deception,2016,123,49.7,Western Australia
Illicit drug offences,2016,834,336.9,Western Australia
Weapons/explosives,2016,121,48.9,Western Australia
Property damage and environmental pollution,2016,567,229.1,Western Australia
Public order offences,2016,574,231.9,Western Australia
Offences against justice,2016,87,35.1,Western Australia
Miscellaneous offences,2016,35,14.1,Western Australia
Acts intended to cause injury,2017,1232,488.1,Western Australia
Sexual assault and related offences,2017,237,93.9,Western Australia
Dangerous/negligent acts,2017,17,6.7,Western Australia
Abduction/harassment,2017,125,49.5,Western Australia
Robbery/extortion,2017,161,63.8,Western Australia
Unlawful entry with intent,2017,1205,477.4,Western Australia
Theft,2017,1234,488.9,Western Australia
Fraud/deception,2017,133,52.7,Western Australia
Illicit drug offences,2017,827,327.6,Western Australia
Weapons/explosives,2017,168,66.6,Western Australia
Property damage and environmental pollution,2017,549,217.5,Western Australia
Public order offences,2017,501,198.5,Western Australia
Offences against justice,2017,130,51.5,Western Australia
Miscellaneous offences,2017,46,18.2,Western Australia
Acts intended to cause injury,2018,1152,446.4,Western Australia
Sexual assault and related offences,2018,211,81.8,Western Australia
Dangerous/negligent acts,2018,18,7.0,Western Australia
Abduction/harassment,2018,109,42.2,Western Australia
Robbery/extortion,2018,245,94.9,Western Australia
Unlawful entry with intent,2018,1053,408.1,Western Australia
Theft,2018,1167,452.2,Western Australia
Fraud/deception,2018,82,31.8,Western Australia
Illicit drug offences,2018,689,267.0,Western Australia
Weapons/explosives,2018,160,62.0,Western Australia
Property damage and environmental pollution,2018,497,192.6,Western Australia
Public order offences,2018,465,180.2,Western Australia
Offences against justice,2018,122,47.3,Western Australia
Miscellaneous offences,2018,12,4.7,Western Australia
Acts intended to cause injury,2019,1198,452.0,Western Australia
Sexual assault and related offences,2019,227,85.6,Western Australia
Dangerous/negligent acts,2019,23,8.7,Western Australia
Abduction/harassment,2019,115,43.4,Western Australia
Robbery/extortion,2019,284,107.2,Western Australia
Unlawful entry with intent,2019,947,357.3,Western Australia
Theft,2019,988,372.8,Western Australia
Fraud/deception,2019,87,32.8,Western Australia
Illicit drug offences,2019,689,260.0,Western Australia
