Offence,Year,Number,Rate,State
09 Fraud/deception,2014–15,209,43.4,Queensland
10 Illicit drug offences,2014–15,2668,553.9,Queensland
11 Weapons/explosives,2014–15,231,48,Queensland
12 Property damage and environmental pollution,2014–15,928,192.6,Queensland
13 Public order offences,2014–15,1212,251.6,Queensland
15 Offences against justice(g),2014–15,183,38,Queensland
16 Miscellaneous offences,2014–15,0,0,Queensland
02 Acts intended to cause injury,2015–16,1625,334.3,Queensland
03 Sexual assault and related offences,2015–16,787,161.9,Queensland
04 Dangerous/negligent acts(e),2015–16,113,23.2,Queensland
05 Abduction/harassment,2015–16,5,1,Queensland
06 Robbery/extortion,2015–16,240,49.4,Queensland
07 Unlawful entry with intent,2015–16,1661,341.7,Queensland
08 Theft(k),2015–16,2658,546.9,Queensland
Fare evasion,2015–16,230,47.3,Queensland
09 Fraud/deception,2015–16,158,32.5,Queensland
10 Illicit drug offences,2015–16,2542,523,Queensland
11 Weapons/explosives,2015–16,217,44.6,Queensland
12 Property damage and environmental pollution,2015–16,875,180,Queensland
13 Public order offences,2015–16,1197,246.3,Queensland
15 Offences against justice(g),2015–16,169,34.8,Queensland
16 Miscellaneous offences,2015–16,7,1.4,Queensland
02 Acts intended to cause injury,2016–17,1792,361.7,Queensland
03 Sexual assault and related offences,2016–17,648,130.8,Queensland
04 Dangerous/negligent acts(e),2016–17,125,25.2,Queensland
05 Abduction/harassment,2016–17,3,0.6,Queensland
06 Robbery/extortion,2016–17,301,60.8,Queensland
07 Unlawful entry with intent,2016–17,1756,354.4,Queensland
08 Theft(k),2016–17,2505,505.6,Queensland
Fare evasion,2016–17,243,49,Queensland
09 Fraud/deception,2016–17,210,42.4,Queensland
10 Illicit drug offences,2016–17,2430,490.5,Queensland
11 Weapons/explosives,2016–17,211,42.6,Queensland
12 Property damage and environmental pollution,2016–17,870,175.6,Queensland
13 Public order offences,2016–17,1148,231.7,Queensland
15 Offences against justice(g),2016–17,149,30.1,Queensland
16 Miscellaneous offences,2016–17,14,2.8,Queensland
02 Acts intended to cause injury,2017–18,1996,394.6,Queensland
03 Sexual assault and related offences,2017–18,586,115.8,Queensland
04 Dangerous/negligent acts(e),2017–18,103,20.4,Queensland
05 Abduction/harassment,2017–18,7,1.4,Queensland
06 Robbery/extortion,2017–18,424,83.8,Queensland
07 Unlawful entry with intent,2017–18,1633,322.8,Queensland
08 Theft(k),2017–18,2424,479.2,Queensland
Fare evasion,2017–18,240,47.4,Queensland
09 Fraud/deception,2017–18,219,43.3,Queensland
10 Illicit drug offences,2017–18,2286,451.9,Queensland
11 Weapons/explosives,2017–18,212,41.9,Queensland
12 Property damage and environmental pollution,2017–18,764,151,Queensland
13 Public order offences,2017–18,1022,202,Queensland
15 Offences against justice(g),2017–18,154,30.4,Queensland
16 Miscellaneous offences,2017–18,7,1.4,Queensland
02 Acts intended to cause injury,2018–19,1999,387,Queensland
03 Sexual assault and related offences,2018–19,552,106.9,Queensland
04 Dangerous/negligent acts(e),2018–19,119,23,Queensland
05 Abduction/harassment,2018–19,13,2.5,Queensland
06 Robbery/extortion,2018–19,498,96.4,Queensland
07 Unlawful entry with intent,2018–19,1516,293.5,Queensland
08 Theft(k),2018–19,2240,433.7,Queensland
Fare evasion,2018–19,224,43.4,Queensland
09 Fraud/deception,2018–19,215,41.6,Queensland
10 Illicit drug offences,2018–19,2230,431.7,Queensland
11 Weapons/explosives,2018–19,216,41.8,Queensland
12 Property damage and environmental pollution,2018–19,710,137.5,Queensland
13 Public order offences,2018–19,779,150.8,Queensland
15 Offences against justice(g),2018–19,121,23.4,Queensland
16 Miscellaneous offences,2018–19,14,2.7,Queensland
02 Acts intended to cause injury,2019–20,1962,371.5,Queensland
03 Sexual assault and related offences,2019–20,621,117.6,Queensland
04 Dangerous/negligent acts(e),2019–20,67,12.7,Queensland
05 Abduction/harassment,2019–20,7,1.3,Queensland
06 Robbery/extortion,2019–20,546,103.4,Queensland
07 Unlawful entry with intent,2019–20,1402,265.4,Queensland
08 Theft(k),2019–20,1985,375.8,Queensland
Fare evasion,2019–20,117,22.2,Queensland
09 Fraud/deception,2019–20,179,33.9,Queensland
10 Illicit drug offences,2019–20,2147,406.5,Queensland
11 Weapons/explosives,2019–20,221,41.8,Queensland
12 Property damage and environmental pollution,2019–20,680,128.7,Queensland
13 Public order offences,2019–20,660,125,Queensland
15 Offences against justice(g),2019–20,98,18.6,Queensland
16 Miscellaneous offences,2019–20,41,7.8,Queensland
02 Acts intended to cause injury,2020–21,2220,411.4,Queensland
03 Sexual assault and related offences,2020–21,645,119.5,Queensland
04 Dangerous/negligent acts(e),2020–21,114,21.1,Queensland
05 Abduction/harassment,2020–21,3,0.6,Queensland
06 Robbery/extortion,2020–21,492,91.2,Queensland
07 Unlawful entry with intent,2020–21,1259,233.3,Queensland
08 Theft(k),2020–21,1511,280,Queensland
Fare evasion,2020–21,83,15.4,Queensland
09 Fraud/deception,2020–21,166,30.8,Queensland
10 Illicit drug offences,2020–21,1736,321.7,Queensland
11 Weapons/explosives,2020–21,211,39.1,Queensland
12 Property damage and environmental pollution,2020–21,702,130.1,Queensland
13 Public order offences,2020–21,703,130.3,Queensland
15 Offences against justice(g),2020–21,127,23.5,Queensland
16 Miscellaneous offences,2020–21,29,5.4,Queensland
02 Acts intended to cause injury,2021–22,2221,401.6,Queensland
03 Sexual assault and related offences,2021–22,644,116.5,Queensland
04 Dangerous/negligent acts(e),2021–22,109,19.7,Queensland
05 Abduction/harassment,2021–22,0,0,Queensland
06 Robbery/extortion,2021–22,523,94.6,Queensland
07 Unlawful entry with intent,2021–22,1388,251,Queensland
08 Theft(k),2021–22,1655,299.3,Queensland
Fare evasion,2021–22,31,5.6,Queensland
09 Fraud/deception,2021–22,141,25.5,Queensland
10 Illicit drug offences,2021–22,1465,264.9,Queensland
11 Weapons/explosives,2021–22,207,37.4,Queensland
12 Property damage and environmental pollution,2021–22,757,136.9,Queensland
13 Public order offences,2021–22,688,124.4,Queensland
15 Offences against justice(g),2021–22,101,18.3,Queensland
16 Miscellaneous offences,2021–22,37,6.7,Queensland
02 Acts intended to cause injury,2022–23,2518,445.5,Queensland
03 Sexual assault and related offences,2022–23,668,118.2,Queensland
04 Dangerous/negligent acts(e),2022–23,128,22.6,Queensland
05 Abduction/harassment,2022–23,8,1.4,Queensland
06 Robbery/extortion,2022–23,576,101.9,Queensland
07 Unlawful entry with intent,2022–23,1432,253.3,Queensland
08 Theft(k),2022–23,1794,317.4,Queensland
Fare evasion,2022–23,35,6.2,Queensland
09 Fraud/deception,2022–23,130,23,Queensland
10 Illicit drug offences,2022–23,1490,263.6,Queensland
11 Weapons/explosives,2022–23,205,36.3,Queensland
12 Property damage and environmental pollution,2022–23,704,124.5,Queensland
13 Public order offences,2022–23,692,122.4,Queensland
15 Offences against justice(g),2022–23,111,19.6,Queensland
16 Miscellaneous offences,2022–23,37,6.5,Queensland
02 Acts intended to cause injury,2023–24,2581,447.5,Queensland
03 Sexual assault and related offences,2023–24,679,117.7,Queensland
04 Dangerous/negligent acts(e),2023–24,106,18.4,Queensland
05 Abduction/harassment,2023–24,6,1,Queensland
06 Robbery/extortion,2023–24,606,105.1,Queensland
07 Unlawful entry with intent,2023–24,1423,246.7,Queensland
08 Theft(k),2023–24,1718,297.9,Queensland
Fare evasion,2023–24,57,9.9,Queensland
09 Fraud/deception,2023–24,131,22.7,Queensland
10 Illicit drug offences,2023–24,1223,212,Queensland
11 Weapons/explosives,2023–24,225,39,Queensland
12 Property damage and environmental pollution,2023–24,717,124.3,Queensland
13 Public order offences,2023–24,632,109.6,Queensland
15 Offences against justice(g),2023–24,105,18.2,Queensland
16 Miscellaneous offences,2023–24,37,6.4,Queensland
02 Acts intended to cause injury,2024–25,2379,409.1,Queensland
03 Sexual assault and related offences,2024–25,493,84.8,Queensland
04 Dangerous/negligent acts(e),2024–25,124,21.3,Queensland
05 Abduction/harassment,2024–25,4,0.7,Queensland
06 Robbery/extortion,2024–25,487,83.8,Queensland
07 Unlawful entry with intent,2024–25,1189,204.5,Queensland
08 Theft(k),2024–25,1701,292.5,Queensland
Fare evasion,2024–25,13,2.2,Queensland
09 Fraud/deception,2024–25,97,16.7,Queensland
10 Illicit drug offences,2024–25,1178,202.6,Queensland
11 Weapons/explosives,2024–25,220,37.8,Queensland
12 Property damage and environmental pollution,2024–25,684,117.6,Queensland
13 Public order offences,2024–25,588,101.1,Queensland
15 Offences against justice(g),2024–25,115,19.8,Queensland
16 Miscellaneous offences,2024–25,24,4.1,Queensland
02 Acts intended to cause injury,2008–09,943,580.6,South Australia
03 Sexual assault and related offences,2008–09,96,59.1,South Australia
04 Dangerous/negligent acts(e),2008–09,24,14.8,South Australia
05 Abduction/harassment,2008–09,21,12.9,South Australia
06 Robbery/extortion,2008–09,89,54.8,South Australia
07 Unlawful entry with intent,2008–09,561,345.4,South Australia
08 Theft(k),2008–09,1093,673,South Australia
Fare evasion,2008–09,np,np,South Australia
09 Fraud/deception,2008–09,18,11.1,South Australia
10 Illicit drug offences(n),2008–09,675,415.6,South Australia
11 Weapons/explosives,2008–09,245,150.9,South Australia
12 Property damage and environmental pollution,2008–09,617,379.9,South Australia
13 Public order offences,2008–09,1076,662.5,South Australia
15 Offences against justice(g),2008–09,224,137.9,South Australia
16 Miscellaneous offences,2008–09,17,10.5,South Australia
02 Acts intended to cause injury,2009–10,960,592.6,South Australia
03 Sexual assault and related offences,2009–10,84,51.8,South Australia
04 Dangerous/negligent acts(e),2009–10,13,8,South Australia
05 Abduction/harassment,2009–10,31,19.1,South Australia
06 Robbery/extortion,2009–10,101,62.3,South Australia
07 Unlawful entry with intent,2009–10,613,378.4,South Australia
08 Theft(k),2009–10,1166,719.7,South Australia
Fare evasion,2009–10,np,np,South Australia
09 Fraud/deception,2009–10,30,18.5,South Australia
10 Illicit drug offences(n),2009–10,754,465.4,South Australia
11 Weapons/explosives,2009–10,214,132.1,South Australia
12 Property damage and environmental pollution,2009–10,530,327.1,South Australia
13 Public order offences,2009–10,723,446.3,South Australia
15 Offences against justice(g),2009–10,116,71.6,South Australia
16 Miscellaneous offences,2009–10,22,13.6,South Australia
02 Acts intended to cause injury,2010–11,915,567.8,South Australia
03 Sexual assault and related offences,2010–11,96,59.6,South Australia
04 Dangerous/negligent acts(e),2010–11,14,8.7,South Australia
05 Abduction/harassment,2010–11,18,11.2,South Australia
06 Robbery/extortion,2010–11,120,74.5,South Australia
07 Unlawful entry with intent,2010–11,532,330.1,South Australia
08 Theft(k),2010–11,1032,640.4,South Australia
Fare evasion,2010–11,np,np,South Australia
09 Fraud/deception,2010–11,40,24.8,South Australia
10 Illicit drug offences(n),2010–11,893,554.1,South Australia
11 Weapons/explosives,2010–11,186,115.4,South Australia
12 Property damage and environmental pollution,2010–11,453,281.1,South Australia
13 Public order offences,2010–11,820,508.8,South Australia
15 Offences against justice(g),2010–11,120,74.5,South Australia
16 Miscellaneous offences,2010–11,9,5.6,South Australia
02 Acts intended to cause injury,2011–12,751,468.4,South Australia
03 Sexual assault and related offences,2011–12,123,76.7,South Australia
04 Dangerous/negligent acts(e),2011–12,13,8.1,South Australia
05 Abduction/harassment,2011–12,17,10.6,South Australia
06 Robbery/extortion,2011–12,91,56.8,South Australia
07 Unlawful entry with intent,2011–12,274,170.9,South Australia
08 Theft(k),2011–12,923,575.7,South Australia
Fare evasion,2011–12,np,np,South Australia
09 Fraud/deception,2011–12,16,10,South Australia
10 Illicit drug offences(n),2011–12,835,520.8,South Australia
11 Weapons/explosives,2011–12,189,117.9,South Australia
12 Property damage and environmental pollution,2011–12,501,312.5,South Australia
13 Public order offences,2011–12,548,341.8,South Australia
15 Offences against justice(g),2011–12,60,37.4,South Australia
16 Miscellaneous offences,2011–12,11,6.9,South Australia
02 Acts intended to cause injury,2012–13,765,480,South Australia
03 Sexual assault and related offences,2012–13,121,75.9,South Australia
04 Dangerous/negligent acts(e),2012–13,26,16.3,South Australia
05 Abduction/harassment,2012–13,10,6.3,South Australia
06 Robbery/extortion,2012–13,76,47.7,South Australia
07 Unlawful entry with intent,2012–13,268,168.2,South Australia
08 Theft(k),2012–13,949,595.5,South Australia
Fare evasion,2012–13,np,np,South Australia
09 Fraud/deception,2012–13,17,10.7,South Australia
10 Illicit drug offences(n),2012–13,892,559.7,South Australia
11 Weapons/explosives,2012–13,136,85.3,South Australia
12 Property damage and environmental pollution,2012–13,460,288.6,South Australia
13 Public order offences,2012–13,667,418.5,South Australia
15 Offences against justice(g),2012–13,53,33.3,South Australia
16 Miscellaneous offences,2012–13,49,30.7,South Australia
02 Acts intended to cause injury,2013–14,644,406.2,South Australia
03 Sexual assault and related offences,2013–14,176,111,South Australia
04 Dangerous/negligent acts(e),2013–14,26,16.4,South Australia
05 Abduction/harassment,2013–14,31,19.6,South Australia
06 Robbery/extortion,2013–14,97,61.2,South Australia
07 Unlawful entry with intent,2013–14,187,118,South Australia
08 Theft(k),2013–14,1161,732.3,South Australia
Fare evasion,2013–14,np,np,South Australia
09 Fraud/deception,2013–14,14,8.8,South Australia
10 Illicit drug offences(n),2013–14,874,551.3,South Australia
11 Weapons/explosives,2013–14,130,82,South Australia
12 Property damage and environmental pollution,2013–14,286,180.4,South Australia
13 Public order offences,2013–14,624,393.6,South Australia
15 Offences against justice(g),2013–14,49,30.9,South Australia
16 Miscellaneous offences,2013–14,46,29,South Australia
02 Acts intended to cause injury,2014–15,622,393.4,South Australia
03 Sexual assault and related offences,2014–15,228,144.2,South Australia
04 Dangerous/negligent acts(e),2014–15,17,10.8,South Australia
05 Abduction/harassment,2014–15,26,16.4,South Australia
06 Robbery/extortion,2014–15,61,38.6,South Australia
07 Unlawful entry with intent,2014–15,173,109.4,South Australia
08 Theft(k),2014–15,518,327.6,South Australia
Fare evasion,2014–15,643,406.7,South Australia
09 Fraud/deception,2014–15,24,15.2,South Australia
10 Illicit drug offences(n),2014–15,897,567.4,South Australia
11 Weapons/explosives,2014–15,120,75.9,South Australia
12 Property damage and environmental pollution,2014–15,292,184.7,South Australia
13 Public order offences,2014–15,544,344.1,South Australia
15 Offences against justice(g),2014–15,40,25.3,South Australia
16 Miscellaneous offences,2014–15,41,25.9,South Australia
02 Acts intended to cause injury,2015–16,651,411.6,South Australia
03 Sexual assault and related offences,2015–16,174,110,South Australia
04 Dangerous/negligent acts(e),2015–16,14,8.9,South Australia
05 Abduction/harassment,2015–16,27,17.1,South Australia
06 Robbery/extortion,2015–16,70,44.3,South Australia
07 Unlawful entry with intent,2015–16,150,94.8,South Australia
08 Theft(k),2015–16,573,362.3,South Australia
Fare evasion,2015–16,1003,634.2,South Australia
09 Fraud/deception,2015–16,12,7.6,South Australia
10 Illicit drug offences(n),2015–16,820,518.5,South Australia
11 Weapons/explosives,2015–16,106,67,South Australia
12 Property damage and environmental pollution,2015–16,268,169.4,South Australia
13 Public order offences,2015–16,462,292.1,South Australia
15 Offences against justice(g),2015–16,47,29.7,South Australia
16 Miscellaneous offences,2015–16,26,16.4,South Australia
02 Acts intended to cause injury,2016–17,583,366.4,South Australia
03 Sexual assault and related offences,2016–17,168,105.6,South Australia
04 Dangerous/negligent acts(e),2016–17,19,11.9,South Australia
05 Abduction/harassment,2016–17,21,13.2,South Australia
06 Robbery/extortion,2016–17,52,32.7,South Australia
07 Unlawful entry with intent,2016–17,231,145.2,South Australia
08 Theft(k),2016–17,544,341.9,South Australia
Fare evasion,2016–17,1112,698.8,South Australia
09 Fraud/deception,2016–17,12,7.5,South Australia
10 Illicit drug offences(n),2016–17,810,509.1,South Australia
11 Weapons/explosives,2016–17,112,70.4,South Australia
12 Property damage and environmental pollution,2016–17,233,146.4,South Australia
13 Public order offences,2016–17,474,297.9,South Australia
15 Offences against justice(g),2016–17,25,15.7,South Australia
16 Miscellaneous offences,2016–17,40,25.1,South Australia
02 Acts intended to cause injury,2017–18,660,411,South Australia
03 Sexual assault and related offences,2017–18,185,115.2,South Australia
04 Dangerous/negligent acts(e),2017–18,28,17.4,South Australia
05 Abduction/harassment,2017–18,19,11.8,South Australia
06 Robbery/extortion,2017–18,49,30.5,South Australia
07 Unlawful entry with intent,2017–18,171,106.5,South Australia
08 Theft(k),2017–18,526,327.6,South Australia
Fare evasion,2017–18,489,304.5,South Australia
09 Fraud/deception,2017–18,15,9.3,South Australia
10 Illicit drug offences(n),2017–18,701,436.6,South Australia
11 Weapons/explosives,2017–18,139,86.6,South Australia
12 Property damage and environmental pollution,2017–18,262,163.2,South Australia
13 Public order offences,2017–18,452,281.5,South Australia
15 Offences against justice(g),2017–18,47,29.3,South Australia
16 Miscellaneous offences,2017–18,41,25.5,South Australia
02 Acts intended to cause injury,2018–19,631,388.2,South Australia
03 Sexual assault and related offences,2018–19,125,76.9,South Australia
04 Dangerous/negligent acts(e),2018–19,20,12.3,South Australia
05 Abduction/harassment,2018–19,20,12.3,South Australia
06 Robbery/extortion,2018–19,59,36.3,South Australia
07 Unlawful entry with intent,2018–19,218,134.1,South Australia
08 Theft(k),2018–19,375,230.7,South Australia
Fare evasion,2018–19,478,294.1,South Australia
09 Fraud/deception,2018–19,3,1.8,South Australia
10 Illicit drug offences(n),2018–19,669,411.6,South Australia
11 Weapons/explosives,2018–19,110,67.7,South Australia
12 Property damage and environmental pollution,2018–19,177,108.9,South Australia
13 Public order offences,2018–19,407,250.4,South Australia
15 Offences against justice(g),2018–19,48,29.5,South Australia
16 Miscellaneous offences,2018–19,26,16,South Australia
02 Acts intended to cause injury,2019–20,557,337.1,South Australia
03 Sexual assault and related offences,2019–20,87,52.7,South Australia
04 Dangerous/negligent acts(e),2019–20,3,1.8,South Australia
05 Abduction/harassment,2019–20,12,7.3,South Australia
06 Robbery/extortion,2019–20,79,47.8,South Australia
07 Unlawful entry with intent,2019–20,278,168.3,South Australia
08 Theft(k),2019–20,296,179.1,South Australia
Fare evasion,2019–20,323,195.5,South Australia
09 Fraud/deception,2019–20,13,7.9,South Australia
10 Illicit drug offences(n),2019–20,510,308.7,South Australia
11 Weapons/explosives,2019–20,118,71.4,South Australia
12 Property damage and environmental pollution,2019–20,157,95,South Australia
13 Public order offences,2019–20,275,166.4,South Australia
15 Offences against justice(g),2019–20,21,12.7,South Australia
16 Miscellaneous offences,2019–20,57,34.5,South Australia
02 Acts intended to cause injury,2020–21,592,353.3,South Australia
03 Sexual assault and related offences,2020–21,90,53.7,South Australia
04 Dangerous/negligent acts(e),2020–21,4,2.4,South Australia
05 Abduction/harassment,2020–21,11,6.6,South Australia
06 Robbery/extortion,2020–21,58,34.6,South Australia
07 Unlawful entry with intent,2020–21,248,148,South Australia
08 Theft(k),2020–21,249,148.6,South Australia
Fare evasion,2020–21,32,19.1,South Australia
09 Fraud/deception,2020–21,9,5.4,South Australia
10 Illicit drug offences(n),2020–21,353,210.7,South Australia
11 Weapons/explosives,2020–21,111,66.2,South Australia
12 Property damage and environmental pollution,2020–21,143,85.3,South Australia
13 Public order offences,2020–21,112,66.8,South Australia
15 Offences against justice(g),2020–21,39,23.3,South Australia
16 Miscellaneous offences,2020–21,32,19.1,South Australia
02 Acts intended to cause injury,2021–22,563,331.6,South Australia
03 Sexual assault and related offences,2021–22,41,24.1,South Australia
04 Dangerous/negligent acts(e),2021–22,6,3.5,South Australia
05 Abduction/harassment,2021–22,11,6.5,South Australia
06 Robbery/extortion,2021–22,63,37.1,South Australia
07 Unlawful entry with intent,2021–22,212,124.9,South Australia
08 Theft(k),2021–22,239,140.8,South Australia
Fare evasion,2021–22,23,13.5,South Australia
09 Fraud/deception,2021–22,6,3.5,South Australia
10 Illicit drug offences(n),2021–22,305,179.6,South Australia
11 Weapons/explosives,2021–22,124,73,South Australia
12 Property damage and environmental pollution,2021–22,119,70.1,South Australia
13 Public order offences,2021–22,117,68.9,South Australia
15 Offences against justice(g),2021–22,34,20,South Australia
16 Miscellaneous offences,2021–22,82,48.3,South Australia
02 Acts intended to cause injury,2022–23,611,353.1,South Australia
03 Sexual assault and related offences,2022–23,58,33.5,South Australia
04 Dangerous/negligent acts(e),2022–23,5,2.9,South Australia
05 Abduction/harassment,2022–23,23,13.3,South Australia
06 Robbery/extortion,2022–23,94,54.3,South Australia
07 Unlawful entry with intent,2022–23,175,101.1,South Australia
08 Theft(k),2022–23,281,162.4,South Australia
Fare evasion,2022–23,46,26.6,South Australia
09 Fraud/deception,2022–23,13,7.5,South Australia
10 Illicit drug offences(n),2022–23,353,204,South Australia
11 Weapons/explosives,2022–23,156,90.2,South Australia
12 Property damage and environmental pollution,2022–23,133,76.9,South Australia
13 Public order offences,2022–23,186,107.5,South Australia
15 Offences against justice(g),2022–23,29,16.8,South Australia
16 Miscellaneous offences,2022–23,27,15.6,South Australia
02 Acts intended to cause injury,2023–24,562,318.8,South Australia
03 Sexual assault and related offences,2023–24,34,19.3,South Australia
04 Dangerous/negligent acts(e),2023–24,8,4.5,South Australia
05 Abduction/harassment,2023–24,4,2.3,South Australia
06 Robbery/extortion,2023–24,105,59.6,South Australia
07 Unlawful entry with intent,2023–24,182,103.2,South Australia
08 Theft(k),2023–24,204,115.7,South Australia
Fare evasion,2023–24,36,20.4,South Australia
09 Fraud/deception,2023–24,3,1.7,South Australia
10 Illicit drug offences(n),2023–24,248,140.7,South Australia
11 Weapons/explosives,2023–24,119,67.5,South Australia
12 Property damage and environmental pollution,2023–24,109,61.8,South Australia
13 Public order offences,2023–24,171,97,South Australia
15 Offences against justice(g),2023–24,34,19.3,South Australia
16 Miscellaneous offences,2023–24,6,3.4,South Australia
02 Acts intended to cause injury,2024–25,600,337.1,South Australia
03 Sexual assault and related offences,2024–25,53,29.8,South Australia
04 Dangerous/negligent acts(e),2024–25,12,6.7,South Australia
05 Abduction/harassment,2024–25,17,9.6,South Australia
06 Robbery/extortion,2024–25,108,60.7,South Australia
07 Unlawful entry with intent,2024–25,192,107.9,South Australia
08 Theft(k),2024–25,256,143.8,South Australia
Fare evasion,2024–25,70,39.3,South Australia
09 Fraud/deception,2024–25,9,5.1,South Australia
10 Illicit drug offences(n),2024–25,275,154.5,South Australia
11 Weapons/explosives,2024–25,141,79.2,South Australia
12 Property damage and environmental pollution,2024–25,128,71.9,South Australia
13 Public order offences,2024–25,182,102.2,South Australia
15 Offences against justice(g),2024–25,41,23,South Australia
16 Miscellaneous offences,2024–25,19,10.7,South Australia
02 Acts intended to cause injury,2008–09,1819,771.3,Western Australia
03 Sexual assault and related offences,2008–09,147,62.3,Western Australia
04 Dangerous/negligent acts(e),2008–09,10,4.2,Western Australia
05 Abduction/harassment,2008–09,411,174.3,Western Australia
06 Robbery/extortion,2008–09,254,107.7,Western Australia
07 Unlawful entry with intent,2008–09,1270,538.5,Western Australia
08 Theft,2008–09,2701,1145.3,Western Australia
09 Fraud/deception,2008–09,223,94.6,Western Australia
10 Illicit drug offences,2008–09,690,292.6,Western Australia
11 Weapons/explosives,2008–09,208,88.2,Western Australia
12 Property damage and environmental pollution,2008–09,1181,500.8,Western Australia
13 Public order offences,2008–09,1000,424,Western Australia
15 Offences against justice(g),2008–09,125,53,Western Australia
16 Miscellaneous offences,2008–09,9,3.8,Western Australia
02 Acts intended to cause injury,2009–10,1970,829.3,Western Australia
03 Sexual assault and related offences,2009–10,196,82.5,Western Australia
04 Dangerous/negligent acts(e),2009–10,26,10.9,Western Australia
05 Abduction/harassment,2009–10,435,183.1,Western Australia
06 Robbery/extortion,2009–10,315,132.6,Western Australia
07 Unlawful entry with intent,2009–10,1550,652.5,Western Australia
08 Theft,2009–10,3136,1320.2,Western Australia
09 Fraud/deception,2009–10,241,101.5,Western Australia
10 Illicit drug offences,2009–10,739,311.1,Western Australia
11 Weapons/explosives,2009–10,241,101.5,Western Australia
12 Property damage and environmental pollution,2009–10,1232,518.6,Western Australia
13 Public order offences,2009–10,1048,441.2,Western Australia
15 Offences against justice(g),2009–10,165,69.5,Western Australia
16 Miscellaneous offences,2009–10,5,2.1,Western Australia
02 Acts intended to cause injury,2010–11,2158,901.6,Western Australia
03 Sexual assault and related offences,2010–11,196,81.9,Western Australia
04 Dangerous/negligent acts(e),2010–11,12,5,Western Australia
05 Abduction/harassment,2010–11,417,174.2,Western Australia
06 Robbery/extortion,2010–11,343,143.3,Western Australia
07 Unlawful entry with intent,2010–11,1743,728.2,Western Australia
08 Theft,2010–11,2856,1193.2,Western Australia
09 Fraud/deception,2010–11,258,107.8,Western Australia
10 Illicit drug offences,2010–11,726,303.3,Western Australia
11 Weapons/explosives,2010–11,243,101.5,Western Australia
12 Property damage and environmental pollution,2010–11,1308,546.5,Western Australia
13 Public order offences,2010–11,1082,452,Western Australia
15 Offences against justice(g),2010–11,109,45.5,Western Australia
16 Miscellaneous offences,2010–11,16,6.7,Western Australia
02 Acts intended to cause injury,2011–12,1526,631.8,Western Australia
03 Sexual assault and related offences,2011–12,150,62.1,Western Australia
04 Dangerous/negligent acts(e),2011–12,14,5.8,Western Australia
05 Abduction/harassment,2011–12,313,129.6,Western Australia
06 Robbery/extortion,2011–12,256,106,Western Australia
07 Unlawful entry with intent,2011–12,1309,542,Western Australia
08 Theft,2011–12,2200,910.9,Western Australia
09 Fraud/deception,2011–12,127,52.6,Western Australia
10 Illicit drug offences,2011–12,530,219.4,Western Australia
11 Weapons/explosives,2011–12,145,60,Western Australia
12 Property damage and environmental pollution,2011–12,838,347,Western Australia
13 Public order offences,2011–12,757,313.4,Western Australia
15 Offences against justice(g),2011–12,113,46.8,Western Australia
16 Miscellaneous offences,2011–12,9,3.7,Western Australia
02 Acts intended to cause injury,2012–13,1163,478.6,Western Australia
03 Sexual assault and related offences,2012–13,151,62.1,Western Australia
04 Dangerous/negligent acts(e),2012–13,18,7.4,Western Australia
05 Abduction/harassment,2012–13,311,128,Western Australia
06 Robbery/extortion,2012–13,209,86,Western Australia
07 Unlawful entry with intent,2012–13,1150,473.2,Western Australia
08 Theft,2012–13,1807,743.6,Western Australia
09 Fraud/deception,2012–13,123,50.6,Western Australia
10 Illicit drug offences,2012–13,607,249.8,Western Australia
11 Weapons/explosives,2012–13,123,50.6,Western Australia
12 Property damage and environmental pollution,2012–13,771,317.3,Western Australia
13 Public order offences,2012–13,660,271.6,Western Australia
15 Offences against justice(g),2012–13,93,38.3,Western Australia
16 Miscellaneous offences,2012–13,7,2.9,Western Australia
02 Acts intended to cause injury,2013–14,983,403.9,Western Australia
03 Sexual assault and related offences,2013–14,173,71.1,Western Australia
04 Dangerous/negligent acts(e),2013–14,10,4.1,Western Australia
05 Abduction/harassment,2013–14,271,111.3,Western Australia
06 Robbery/extortion,2013–14,189,77.7,Western Australia
07 Unlawful entry with intent,2013–14,1230,505.4,Western Australia
08 Theft,2013–14,1280,525.9,Western Australia
09 Fraud/deception,2013–14,159,65.3,Western Australia
10 Illicit drug offences,2013–14,771,316.8,Western Australia
11 Weapons/explosives,2013–14,108,44.4,Western Australia
12 Property damage and environmental pollution,2013–14,600,246.5,Western Australia
13 Public order offences,2013–14,554,227.6,Western Australia
15 Offences against justice(g),2013–14,89,36.6,Western Australia
16 Miscellaneous offences,2013–14,27,11.1,Western Australia
02 Acts intended to cause injury,2014–15,1015,416.6,Western Australia
03 Sexual assault and related offences,2014–15,177,72.6,Western Australia
04 Dangerous/negligent acts(e),2014–15,15,6.2,Western Australia
05 Abduction/harassment,2014–15,278,114.1,Western Australia
06 Robbery/extortion,2014–15,149,61.2,Western Australia
07 Unlawful entry with intent,2014–15,1138,467.1,Western Australia
08 Theft,2014–15,1292,530.3,Western Australia
09 Fraud/deception,2014–15,145,59.5,Western Australia
10 Illicit drug offences,2014–15,802,329.2,Western Australia
11 Weapons/explosives,2014–15,97,39.8,Western Australia
12 Property damage and environmental pollution,2014–15,609,250,Western Australia
13 Public order offences,2014–15,492,201.9,Western Australia
