Offence,Year,Number,Rate,State,Sex
01 Homicide and related offences,2008–09,247,8.2,New South Wales,Male
02 Acts intended to cause injury(e),2008–09,23080,765.5,New South Wales,Male
03 Sexual assault and related offences,2008–09,1402,46.5,New South Wales,Male
04 Dangerous/negligent acts(f) ,2008–09,116,3.8,New South Wales,Male
05 Abduction/harassment(e),2008–09,698,23.2,New South Wales,Male
06 Robbery/extortion,2008–09,1165,38.6,New South Wales,Male
07 Unlawful entry with intent,2008–09,2842,94.3,New South Wales,Male
08 Theft(g),2008–09,12250,406.3,New South Wales,Male
Fare evasion,2008–09,np,np,New South Wales,Male
09 Fraud/deception,2008–09,1973,65.4,New South Wales,Male
10 Illicit drug offences,2008–09,10304,341.8,New South Wales,Male
11 Weapons/explosives,2008–09,1056,35,New South Wales,Male
12 Property damage and environmental pollution,2008–09,5919,196.3,New South Wales,Male
13 Public order offences,2008–09,13630,452.1,New South Wales,Male
15 Offences against justice(h),2008–09,6364,211.1,New South Wales,Male
16 Miscellaneous offences,2008–09,4388,145.5,New South Wales,Male
01 Homicide and related offences,2009–10,285,9.3,New South Wales,Male
02 Acts intended to cause injury(e),2009–10,22586,738.3,New South Wales,Male
03 Sexual assault and related offences,2009–10,1438,47,New South Wales,Male
04 Dangerous/negligent acts(f) ,2009–10,136,4.4,New South Wales,Male
05 Abduction/harassment(e),2009–10,767,25.1,New South Wales,Male
06 Robbery/extortion,2009–10,1235,40.4,New South Wales,Male
07 Unlawful entry with intent,2009–10,2801,91.6,New South Wales,Male
08 Theft(g),2009–10,13699,447.8,New South Wales,Male
Fare evasion,2009–10,np,np,New South Wales,Male
09 Fraud/deception,2009–10,1858,60.7,New South Wales,Male
10 Illicit drug offences,2009–10,11108,363.1,New South Wales,Male
11 Weapons/explosives,2009–10,1048,34.3,New South Wales,Male
12 Property damage and environmental pollution,2009–10,5638,184.3,New South Wales,Male
13 Public order offences,2009–10,13458,439.9,New South Wales,Male
15 Offences against justice(h),2009–10,5763,188.4,New South Wales,Male
16 Miscellaneous offences,2009–10,6082,198.8,New South Wales,Male
01 Homicide and related offences,2010–11,268,8.7,New South Wales,Male
02 Acts intended to cause injury(e),2010–11,22325,721.6,New South Wales,Male
03 Sexual assault and related offences,2010–11,1312,42.4,New South Wales,Male
04 Dangerous/negligent acts(f) ,2010–11,146,4.7,New South Wales,Male
05 Abduction/harassment(e),2010–11,744,24,New South Wales,Male
06 Robbery/extortion,2010–11,1215,39.3,New South Wales,Male
07 Unlawful entry with intent,2010–11,2720,87.9,New South Wales,Male
08 Theft(g),2010–11,15688,507.1,New South Wales,Male
Fare evasion,2010–11,np,np,New South Wales,Male
09 Fraud/deception,2010–11,1633,52.8,New South Wales,Male
10 Illicit drug offences,2010–11,11115,359.3,New South Wales,Male
11 Weapons/explosives,2010–11,1167,37.7,New South Wales,Male
12 Property damage and environmental pollution,2010–11,5419,175.2,New South Wales,Male
13 Public order offences,2010–11,14524,469.5,New South Wales,Male
15 Offences against justice(h),2010–11,5618,181.6,New South Wales,Male
16 Miscellaneous offences,2010–11,7526,243.3,New South Wales,Male
01 Homicide and related offences,2011–12,220,7,New South Wales,Male
02 Acts intended to cause injury(e),2011–12,20859,667.1,New South Wales,Male
03 Sexual assault and related offences,2011–12,1394,44.6,New South Wales,Male
04 Dangerous/negligent acts(f) ,2011–12,77,2.5,New South Wales,Male
05 Abduction/harassment(e),2011–12,735,23.5,New South Wales,Male
06 Robbery/extortion,2011–12,964,30.8,New South Wales,Male
07 Unlawful entry with intent,2011–12,2401,76.8,New South Wales,Male
08 Theft(g),2011–12,15609,499.2,New South Wales,Male
Fare evasion,2011–12,np,np,New South Wales,Male
09 Fraud/deception,2011–12,1702,54.4,New South Wales,Male
10 Illicit drug offences,2011–12,11223,358.9,New South Wales,Male
11 Weapons/explosives,2011–12,992,31.7,New South Wales,Male
12 Property damage and environmental pollution,2011–12,4597,147,New South Wales,Male
13 Public order offences,2011–12,12075,386.2,New South Wales,Male
15 Offences against justice(h),2011–12,4744,151.7,New South Wales,Male
16 Miscellaneous offences,2011–12,7985,255.4,New South Wales,Male
01 Homicide and related offences,2012–13,223,7,New South Wales,Male
02 Acts intended to cause injury(e),2012–13,21443,677.8,New South Wales,Male
03 Sexual assault and related offences,2012–13,1458,46.1,New South Wales,Male
04 Dangerous/negligent acts(f) ,2012–13,88,2.8,New South Wales,Male
05 Abduction/harassment(e),2012–13,690,21.8,New South Wales,Male
06 Robbery/extortion,2012–13,983,31.1,New South Wales,Male
07 Unlawful entry with intent,2012–13,2236,70.7,New South Wales,Male
08 Theft(g),2012–13,16547,523.1,New South Wales,Male
Fare evasion,2012–13,np,np,New South Wales,Male
09 Fraud/deception,2012–13,2336,73.8,New South Wales,Male
10 Illicit drug offences,2012–13,12097,382.4,New South Wales,Male
11 Weapons/explosives,2012–13,1152,36.4,New South Wales,Male
12 Property damage and environmental pollution,2012–13,4684,148.1,New South Wales,Male
13 Public order offences,2012–13,13369,422.6,New South Wales,Male
15 Offences against justice(h),2012–13,5118,161.8,New South Wales,Male
16 Miscellaneous offences,2012–13,9092,287.4,New South Wales,Male
01 Homicide and related offences,2013–14,200,6.2,New South Wales,Male
02 Acts intended to cause injury(e),2013–14,22107,690,New South Wales,Male
03 Sexual assault and related offences,2013–14,1766,55.1,New South Wales,Male
04 Dangerous/negligent acts(f) ,2013–14,263,8.2,New South Wales,Male
05 Abduction/harassment(e),2013–14,715,22.3,New South Wales,Male
06 Robbery/extortion,2013–14,830,25.9,New South Wales,Male
07 Unlawful entry with intent,2013–14,2190,68.4,New South Wales,Male
08 Theft(g),2013–14,6284,196.1,New South Wales,Male
Fare evasion,2013–14,13673,426.8,New South Wales,Male
09 Fraud/deception,2013–14,2908,90.8,New South Wales,Male
10 Illicit drug offences,2013–14,13105,409.1,New South Wales,Male
11 Weapons/explosives,2013–14,1246,38.9,New South Wales,Male
12 Property damage and environmental pollution,2013–14,4423,138.1,New South Wales,Male
13 Public order offences,2013–14,14762,460.8,New South Wales,Male
15 Offences against justice(h),2013–14,5208,162.6,New South Wales,Male
16 Miscellaneous offences,2013–14,5386,168.1,New South Wales,Male
01 Homicide and related offences,2014–15,201,6.2,New South Wales,Male
02 Acts intended to cause injury(e),2014–15,22115,680.9,New South Wales,Male
03 Sexual assault and related offences,2014–15,1789,55.1,New South Wales,Male
04 Dangerous/negligent acts(f) ,2014–15,264,8.1,New South Wales,Male
05 Abduction/harassment(e),2014–15,856,26.4,New South Wales,Male
06 Robbery/extortion,2014–15,783,24.1,New South Wales,Male
07 Unlawful entry with intent,2014–15,2023,62.3,New South Wales,Male
08 Theft(g),2014–15,6110,188.1,New South Wales,Male
Fare evasion,2014–15,17573,541.1,New South Wales,Male
09 Fraud/deception,2014–15,3179,97.9,New South Wales,Male
10 Illicit drug offences,2014–15,13933,429,New South Wales,Male
11 Weapons/explosives,2014–15,1283,39.5,New South Wales,Male
12 Property damage and environmental pollution,2014–15,3838,118.2,New South Wales,Male
13 Public order offences,2014–15,14418,443.9,New South Wales,Male
15 Offences against justice(h),2014–15,4615,142.1,New South Wales,Male
16 Miscellaneous offences,2014–15,4981,153.4,New South Wales,Male
01 Homicide and related offences,2015–16,202,6.1,New South Wales,Male
02 Acts intended to cause injury(e),2015–16,23117,701.8,New South Wales,Male
03 Sexual assault and related offences,2015–16,1965,59.7,New South Wales,Male
04 Dangerous/negligent acts(f) ,2015–16,317,9.6,New South Wales,Male
05 Abduction/harassment(e),2015–16,870,26.4,New South Wales,Male
06 Robbery/extortion,2015–16,692,21,New South Wales,Male
07 Unlawful entry with intent,2015–16,2045,62.1,New South Wales,Male
08 Theft(g),2015–16,6439,195.5,New South Wales,Male
Fare evasion,2015–16,17958,545.2,New South Wales,Male
09 Fraud/deception,2015–16,2919,88.6,New South Wales,Male
10 Illicit drug offences,2015–16,14279,433.5,New South Wales,Male
11 Weapons/explosives,2015–16,1479,44.9,New South Wales,Male
12 Property damage and environmental pollution,2015–16,3817,115.9,New South Wales,Male
13 Public order offences,2015–16,14515,440.6,New South Wales,Male
15 Offences against justice(h),2015–16,4715,143.1,New South Wales,Male
16 Miscellaneous offences,2015–16,4633,140.6,New South Wales,Male
01 Homicide and related offences,2016–17,209,6.2,New South Wales,Male
02 Acts intended to cause injury(e),2016–17,23234,693.5,New South Wales,Male
03 Sexual assault and related offences,2016–17,2135,63.7,New South Wales,Male
04 Dangerous/negligent acts(f) ,2016–17,402,12,New South Wales,Male
05 Abduction/harassment(e),2016–17,841,25.1,New South Wales,Male
06 Robbery/extortion,2016–17,655,19.6,New South Wales,Male
07 Unlawful entry with intent,2016–17,2002,59.8,New South Wales,Male
08 Theft(g),2016–17,6427,191.8,New South Wales,Male
Fare evasion,2016–17,19449,580.6,New South Wales,Male
09 Fraud/deception,2016–17,2612,78,New South Wales,Male
10 Illicit drug offences,2016–17,14014,418.3,New South Wales,Male
11 Weapons/explosives,2016–17,1469,43.8,New South Wales,Male
12 Property damage and environmental pollution,2016–17,3683,109.9,New South Wales,Male
13 Public order offences,2016–17,14019,418.5,New South Wales,Male
15 Offences against justice(h),2016–17,4157,124.1,New South Wales,Male
16 Miscellaneous offences,2016–17,3909,116.7,New South Wales,Male
01 Homicide and related offences,2017–18,197,5.8,New South Wales,Male
02 Acts intended to cause injury(e),2017–18,23130,679.2,New South Wales,Male
03 Sexual assault and related offences,2017–18,2240,65.8,New South Wales,Male
04 Dangerous/negligent acts(f) ,2017–18,127,3.7,New South Wales,Male
05 Abduction/harassment(e),2017–18,806,23.7,New South Wales,Male
06 Robbery/extortion,2017–18,738,21.7,New South Wales,Male
07 Unlawful entry with intent,2017–18,1962,57.6,New South Wales,Male
08 Theft(g),2017–18,6524,191.6,New South Wales,Male
Fare evasion,2017–18,17148,503.5,New South Wales,Male
09 Fraud/deception,2017–18,2740,80.5,New South Wales,Male
10 Illicit drug offences,2017–18,14326,420.6,New South Wales,Male
11 Weapons/explosives,2017–18,1606,47.2,New South Wales,Male
12 Property damage and environmental pollution,2017–18,3565,104.7,New South Wales,Male
13 Public order offences,2017–18,12594,369.8,New South Wales,Male
15 Offences against justice(h),2017–18,3969,116.5,New South Wales,Male
16 Miscellaneous offences,2017–18,5271,154.8,New South Wales,Male
01 Homicide and related offences,2018–19,238,6.9,New South Wales,Male
02 Acts intended to cause injury(e),2018–19,24126,697.1,New South Wales,Male
03 Sexual assault and related offences,2018–19,2303,66.5,New South Wales,Male
04 Dangerous/negligent acts(f) ,2018–19,63,1.8,New South Wales,Male
05 Abduction/harassment(e),2018–19,807,23.3,New South Wales,Male
06 Robbery/extortion,2018–19,758,21.9,New South Wales,Male
07 Unlawful entry with intent,2018–19,1775,51.3,New South Wales,Male
08 Theft(g),2018–19,6388,184.6,New South Wales,Male
Fare evasion,2018–19,14351,414.7,New South Wales,Male
09 Fraud/deception,2018–19,2805,81.1,New South Wales,Male
10 Illicit drug offences,2018–19,13937,402.7,New South Wales,Male
11 Weapons/explosives,2018–19,1900,54.9,New South Wales,Male
12 Property damage and environmental pollution,2018–19,3302,95.4,New South Wales,Male
13 Public order offences,2018–19,10893,314.8,New South Wales,Male
15 Offences against justice(h),2018–19,4030,116.5,New South Wales,Male
16 Miscellaneous offences,2018–19,5613,162.2,New South Wales,Male
01 Homicide and related offences,2019–20,222,6.3,New South Wales,Male
02 Acts intended to cause injury(e),2019–20,24735,705.7,New South Wales,Male
03 Sexual assault and related offences,2019–20,2432,69.4,New South Wales,Male
04 Dangerous/negligent acts(f) ,2019–20,48,1.4,New South Wales,Male
05 Abduction/harassment(e),2019–20,857,24.4,New South Wales,Male
06 Robbery/extortion,2019–20,799,22.8,New South Wales,Male
07 Unlawful entry with intent,2019–20,1915,54.6,New South Wales,Male
08 Theft(g),2019–20,6129,174.9,New South Wales,Male
Fare evasion,2019–20,12377,353.1,New South Wales,Male
09 Fraud/deception,2019–20,2710,77.3,New South Wales,Male
10 Illicit drug offences,2019–20,13516,385.6,New South Wales,Male
11 Weapons/explosives,2019–20,2153,61.4,New South Wales,Male
12 Property damage and environmental pollution,2019–20,3199,91.3,New South Wales,Male
13 Public order offences,2019–20,9204,262.6,New South Wales,Male
15 Offences against justice(h),2019–20,4091,116.7,New South Wales,Male
16 Miscellaneous offences,2019–20,4762,135.9,New South Wales,Male
01 Homicide and related offences,2020–21,203,5.8,New South Wales,Male
02 Acts intended to cause injury(e),2020–21,26042,741.1,New South Wales,Male
03 Sexual assault and related offences,2020–21,2584,73.5,New South Wales,Male
04 Dangerous/negligent acts(f) ,2020–21,62,1.8,New South Wales,Male
05 Abduction/harassment(e),2020–21,897,25.5,New South Wales,Male
06 Robbery/extortion,2020–21,722,20.5,New South Wales,Male
07 Unlawful entry with intent,2020–21,1584,45.1,New South Wales,Male
08 Theft(g),2020–21,5205,148.1,New South Wales,Male
Fare evasion,2020–21,10721,305.1,New South Wales,Male
09 Fraud/deception,2020–21,2245,63.9,New South Wales,Male
10 Illicit drug offences,2020–21,11379,323.8,New South Wales,Male
11 Weapons/explosives,2020–21,2019,57.5,New South Wales,Male
12 Property damage and environmental pollution,2020–21,3213,91.4,New South Wales,Male
13 Public order offences,2020–21,8237,234.4,New South Wales,Male
15 Offences against justice(h),2020–21,4130,117.5,New South Wales,Male
16 Miscellaneous offences,2020–21,4818,137.1,New South Wales,Male
01 Homicide and related offences,2021–22,183,5.2,New South Wales,Male
02 Acts intended to cause injury(e),2021–22,26332,748.8,New South Wales,Male
03 Sexual assault and related offences,2021–22,2533,72,New South Wales,Male
04 Dangerous/negligent acts(f) ,2021–22,70,2,New South Wales,Male
05 Abduction/harassment(e),2021–22,878,25,New South Wales,Male
06 Robbery/extortion,2021–22,593,16.9,New South Wales,Male
07 Unlawful entry with intent,2021–22,1519,43.2,New South Wales,Male
08 Theft(g),2021–22,4668,132.7,New South Wales,Male
Fare evasion,2021–22,9647,274.3,New South Wales,Male
09 Fraud/deception,2021–22,1938,55.1,New South Wales,Male
10 Illicit drug offences,2021–22,9215,262,New South Wales,Male
11 Weapons/explosives,2021–22,1956,55.6,New South Wales,Male
12 Property damage and environmental pollution,2021–22,2936,83.5,New South Wales,Male
13 Public order offences,2021–22,7408,210.7,New South Wales,Male
15 Offences against justice(h),2021–22,3757,106.8,New South Wales,Male
16 Miscellaneous offences,2021–22,27832,791.4,New South Wales,Male
01 Homicide and related offences,2022–23,178,5,New South Wales,Male
02 Acts intended to cause injury(e),2022–23,28447,791.6,New South Wales,Male
03 Sexual assault and related offences,2022–23,2683,74.7,New South Wales,Male
04 Dangerous/negligent acts(f) ,2022–23,46,1.3,New South Wales,Male
05 Abduction/harassment(e),2022–23,954,26.5,New South Wales,Male
06 Robbery/extortion,2022–23,578,16.1,New South Wales,Male
07 Unlawful entry with intent,2022–23,1788,49.8,New South Wales,Male
08 Theft(g),2022–23,5732,159.5,New South Wales,Male
Fare evasion,2022–23,12890,358.7,New South Wales,Male
09 Fraud/deception,2022–23,1962,54.6,New South Wales,Male
10 Illicit drug offences,2022–23,10739,298.8,New South Wales,Male
11 Weapons/explosives,2022–23,1904,53,New South Wales,Male
12 Property damage and environmental pollution,2022–23,3107,86.5,New South Wales,Male
13 Public order offences,2022–23,8839,246,New South Wales,Male
15 Offences against justice(h),2022–23,4414,122.8,New South Wales,Male
16 Miscellaneous offences,2022–23,4832,134.5,New South Wales,Male
01 Homicide and related offences,2023–24,226,6.1,New South Wales,Male
02 Acts intended to cause injury(e),2023–24,28226,765.2,New South Wales,Male
03 Sexual assault and related offences,2023–24,2691,73,New South Wales,Male
04 Dangerous/negligent acts(f) ,2023–24,66,1.8,New South Wales,Male
05 Abduction/harassment(e),2023–24,854,23.2,New South Wales,Male
06 Robbery/extortion,2023–24,639,17.3,New South Wales,Male
07 Unlawful entry with intent,2023–24,1674,45.4,New South Wales,Male
08 Theft(g),2023–24,5220,141.5,New South Wales,Male
Fare evasion,2023–24,14551,394.5,New South Wales,Male
09 Fraud/deception,2023–24,1932,52.4,New South Wales,Male
10 Illicit drug offences,2023–24,8760,237.5,New South Wales,Male
11 Weapons/explosives,2023–24,3461,93.8,New South Wales,Male
12 Property damage and environmental pollution,2023–24,2821,76.5,New South Wales,Male
13 Public order offences,2023–24,7372,199.9,New South Wales,Male
15 Offences against justice(h),2023–24,4491,121.8,New South Wales,Male
16 Miscellaneous offences,2023–24,4377,118.7,New South Wales,Male
01 Homicide and related offences,2024–25,180,4.8,New South Wales,Male
02 Acts intended to cause injury(e),2024–25,28808,768.3,New South Wales,Male
03 Sexual assault and related offences,2024–25,2695,71.9,New South Wales,Male
04 Dangerous/negligent acts(f) ,2024–25,42,1.1,New South Wales,Male
05 Abduction/harassment(e),2024–25,898,23.9,New South Wales,Male
06 Robbery/extortion,2024–25,555,14.8,New South Wales,Male
07 Unlawful entry with intent,2024–25,1519,40.5,New South Wales,Male
08 Theft(g),2024–25,4676,124.7,New South Wales,Male
Fare evasion,2024–25,13663,364.4,New South Wales,Male
09 Fraud/deception,2024–25,1692,45.1,New South Wales,Male
10 Illicit drug offences,2024–25,7597,202.6,New South Wales,Male
11 Weapons/explosives,2024–25,4133,110.2,New South Wales,Male
12 Property damage and environmental pollution,2024–25,2662,71,New South Wales,Male
13 Public order offences,2024–25,6723,179.3,New South Wales,Male
15 Offences against justice(h),2024–25,4607,122.9,New South Wales,Male
16 Miscellaneous offences,2024–25,3772,100.6,New South Wales,Male
01 Homicide and related offences,2008–09,35,1.1,New South Wales,Female
02 Acts intended to cause injury(e),2008–09,5454,176.6,New South Wales,Female
03 Sexual assault and related offences,2008–09,27,0.9,New South Wales,Female
04 Dangerous/negligent acts(f) ,2008–09,16,0.5,New South Wales,Female
05 Abduction/harassment(e),2008–09,142,4.6,New South Wales,Female
06 Robbery/extortion,2008–09,177,5.7,New South Wales,Female
07 Unlawful entry with intent,2008–09,329,10.7,New South Wales,Female
08 Theft(g),2008–09,6413,207.6,New South Wales,Female
Fare evasion,2008–09,np,np,New South Wales,Female
09 Fraud/deception,2008–09,1079,34.9,New South Wales,Female
10 Illicit drug offences,2008–09,1892,61.3,New South Wales,Female
11 Weapons/explosives,2008–09,79,2.6,New South Wales,Female
12 Property damage and environmental pollution,2008–09,1195,38.7,New South Wales,Female
13 Public order offences,2008–09,2711,87.8,New South Wales,Female
15 Offences against justice(h),2008–09,1850,59.9,New South Wales,Female
16 Miscellaneous offences,2008–09,770,24.9,New South Wales,Female
01 Homicide and related offences,2009–10,48,1.5,New South Wales,Female
02 Acts intended to cause injury(e),2009–10,5757,183.8,New South Wales,Female
03 Sexual assault and related offences,2009–10,39,1.2,New South Wales,Female
04 Dangerous/negligent acts(f) ,2009–10,36,1.1,New South Wales,Female
05 Abduction/harassment(e),2009–10,167,5.3,New South Wales,Female
06 Robbery/extortion,2009–10,156,5,New South Wales,Female
07 Unlawful entry with intent,2009–10,330,10.5,New South Wales,Female
08 Theft(g),2009–10,7224,230.6,New South Wales,Female
Fare evasion,2009–10,np,np,New South Wales,Female
09 Fraud/deception,2009–10,944,30.1,New South Wales,Female
10 Illicit drug offences,2009–10,2069,66.1,New South Wales,Female
11 Weapons/explosives,2009–10,90,2.9,New South Wales,Female
12 Property damage and environmental pollution,2009–10,1269,40.5,New South Wales,Female
13 Public order offences,2009–10,2756,88,New South Wales,Female
15 Offences against justice(h),2009–10,1654,52.8,New South Wales,Female
16 Miscellaneous offences,2009–10,1316,42,New South Wales,Female
01 Homicide and related offences,2010–11,51,1.6,New South Wales,Female
02 Acts intended to cause injury(e),2010–11,6063,191.4,New South Wales,Female
03 Sexual assault and related offences,2010–11,42,1.3,New South Wales,Female
04 Dangerous/negligent acts(f) ,2010–11,31,1,New South Wales,Female
05 Abduction/harassment(e),2010–11,147,4.6,New South Wales,Female
06 Robbery/extortion,2010–11,158,5,New South Wales,Female
07 Unlawful entry with intent,2010–11,338,10.7,New South Wales,Female
08 Theft(g),2010–11,7771,245.3,New South Wales,Female
Fare evasion,2010–11,np,np,New South Wales,Female
09 Fraud/deception,2010–11,851,26.9,New South Wales,Female
10 Illicit drug offences,2010–11,2049,64.7,New South Wales,Female
11 Weapons/explosives,2010–11,81,2.6,New South Wales,Female
12 Property damage and environmental pollution,2010–11,1234,39,New South Wales,Female
13 Public order offences,2010–11,2712,85.6,New South Wales,Female
15 Offences against justice(h),2010–11,1747,55.1,New South Wales,Female
16 Miscellaneous offences,2010–11,1660,52.4,New South Wales,Female
01 Homicide and related offences,2011–12,44,1.4,New South Wales,Female
02 Acts intended to cause injury(e),2011–12,5511,172,New South Wales,Female
03 Sexual assault and related offences,2011–12,42,1.3,New South Wales,Female
04 Dangerous/negligent acts(f) ,2011–12,24,0.7,New South Wales,Female
05 Abduction/harassment(e),2011–12,141,4.4,New South Wales,Female
06 Robbery/extortion,2011–12,141,4.4,New South Wales,Female
07 Unlawful entry with intent,2011–12,291,9.1,New South Wales,Female
08 Theft(g),2011–12,7836,244.6,New South Wales,Female
Fare evasion,2011–12,np,np,New South Wales,Female
09 Fraud/deception,2011–12,870,27.2,New South Wales,Female
10 Illicit drug offences,2011–12,2093,65.3,New South Wales,Female
11 Weapons/explosives,2011–12,89,2.8,New South Wales,Female
12 Property damage and environmental pollution,2011–12,1111,34.7,New South Wales,Female
13 Public order offences,2011–12,2293,71.6,New South Wales,Female
15 Offences against justice(h),2011–12,1464,45.7,New South Wales,Female
16 Miscellaneous offences,2011–12,1710,53.4,New South Wales,Female
01 Homicide and related offences,2012–13,35,1.1,New South Wales,Female
02 Acts intended to cause injury(e),2012–13,5398,166.4,New South Wales,Female
03 Sexual assault and related offences,2012–13,36,1.1,New South Wales,Female
04 Dangerous/negligent acts(f) ,2012–13,26,0.8,New South Wales,Female
05 Abduction/harassment(e),2012–13,171,5.3,New South Wales,Female
06 Robbery/extortion,2012–13,143,4.4,New South Wales,Female
07 Unlawful entry with intent,2012–13,303,9.3,New South Wales,Female
08 Theft(g),2012–13,7553,232.9,New South Wales,Female
Fare evasion,2012–13,np,np,New South Wales,Female
09 Fraud/deception,2012–13,1029,31.7,New South Wales,Female
10 Illicit drug offences,2012–13,2366,72.9,New South Wales,Female
11 Weapons/explosives,2012–13,110,3.4,New South Wales,Female
12 Property damage and environmental pollution,2012–13,1092,33.7,New South Wales,Female
13 Public order offences,2012–13,2615,80.6,New South Wales,Female
15 Offences against justice(h),2012–13,1640,50.6,New South Wales,Female
16 Miscellaneous offences,2012–13,1866,57.5,New South Wales,Female
01 Homicide and related offences,2013–14,37,1.1,New South Wales,Female
02 Acts intended to cause injury(e),2013–14,5688,172.9,New South Wales,Female
03 Sexual assault and related offences,2013–14,48,1.5,New South Wales,Female
04 Dangerous/negligent acts(f) ,2013–14,43,1.3,New South Wales,Female
05 Abduction/harassment(e),2013–14,153,4.7,New South Wales,Female
06 Robbery/extortion,2013–14,133,4,New South Wales,Female
07 Unlawful entry with intent,2013–14,295,9,New South Wales,Female
08 Theft(g),2013–14,4474,136,New South Wales,Female
Fare evasion,2013–14,3962,120.4,New South Wales,Female
09 Fraud/deception,2013–14,1235,37.5,New South Wales,Female
10 Illicit drug offences,2013–14,2638,80.2,New South Wales,Female
11 Weapons/explosives,2013–14,108,3.3,New South Wales,Female
12 Property damage and environmental pollution,2013–14,1095,33.3,New South Wales,Female
13 Public order offences,2013–14,3173,96.5,New South Wales,Female
15 Offences against justice(h),2013–14,1542,46.9,New South Wales,Female
16 Miscellaneous offences,2013–14,667,20.3,New South Wales,Female
01 Homicide and related offences,2014–15,46,1.4,New South Wales,Female
02 Acts intended to cause injury(e),2014–15,5670,169.9,New South Wales,Female
03 Sexual assault and related offences,2014–15,64,1.9,New South Wales,Female
04 Dangerous/negligent acts(f) ,2014–15,32,1,New South Wales,Female
05 Abduction/harassment(e),2014–15,203,6.1,New South Wales,Female
06 Robbery/extortion,2014–15,139,4.2,New South Wales,Female
07 Unlawful entry with intent,2014–15,285,8.5,New South Wales,Female
08 Theft(g),2014–15,4017,120.4,New South Wales,Female
Fare evasion,2014–15,5243,157.1,New South Wales,Female
09 Fraud/deception,2014–15,1338,40.1,New South Wales,Female
10 Illicit drug offences,2014–15,2869,86,New South Wales,Female
11 Weapons/explosives,2014–15,122,3.7,New South Wales,Female
12 Property damage and environmental pollution,2014–15,1054,31.6,New South Wales,Female
13 Public order offences,2014–15,3360,100.7,New South Wales,Female
15 Offences against justice(h),2014–15,1321,39.6,New South Wales,Female
16 Miscellaneous offences,2014–15,547,16.4,New South Wales,Female
01 Homicide and related offences,2015–16,43,1.3,New South Wales,Female
02 Acts intended to cause injury(e),2015–16,5910,174.5,New South Wales,Female
03 Sexual assault and related offences,2015–16,91,2.7,New South Wales,Female
04 Dangerous/negligent acts(f) ,2015–16,43,1.3,New South Wales,Female
05 Abduction/harassment(e),2015–16,184,5.4,New South Wales,Female
06 Robbery/extortion,2015–16,113,3.3,New South Wales,Female
07 Unlawful entry with intent,2015–16,321,9.5,New South Wales,Female
08 Theft(g),2015–16,4456,131.6,New South Wales,Female
Fare evasion,2015–16,5767,170.3,New South Wales,Female
09 Fraud/deception,2015–16,1302,38.5,New South Wales,Female
10 Illicit drug offences,2015–16,3297,97.4,New South Wales,Female
11 Weapons/explosives,2015–16,183,5.4,New South Wales,Female
12 Property damage and environmental pollution,2015–16,1021,30.2,New South Wales,Female
13 Public order offences,2015–16,3485,102.9,New South Wales,Female
15 Offences against justice(h),2015–16,1438,42.5,New South Wales,Female
16 Miscellaneous offences,2015–16,533,15.7,New South Wales,Female
01 Homicide and related offences,2016–17,33,1,New South Wales,Female
02 Acts intended to cause injury(e),2016–17,6268,182.1,New South Wales,Female
03 Sexual assault and related offences,2016–17,72,2.1,New South Wales,Female
04 Dangerous/negligent acts(f) ,2016–17,49,1.4,New South Wales,Female
05 Abduction/harassment(e),2016–17,199,5.8,New South Wales,Female
06 Robbery/extortion,2016–17,103,3,New South Wales,Female
07 Unlawful entry with intent,2016–17,312,9.1,New South Wales,Female
08 Theft(g),2016–17,4744,137.8,New South Wales,Female
Fare evasion,2016–17,6738,195.7,New South Wales,Female
09 Fraud/deception,2016–17,1244,36.1,New South Wales,Female
10 Illicit drug offences,2016–17,3362,97.7,New South Wales,Female
11 Weapons/explosives,2016–17,192,5.6,New South Wales,Female
12 Property damage and environmental pollution,2016–17,1000,29.1,New South Wales,Female
13 Public order offences,2016–17,3382,98.3,New South Wales,Female
15 Offences against justice(h),2016–17,1184,34.4,New South Wales,Female
16 Miscellaneous offences,2016–17,473,13.7,New South Wales,Female
01 Homicide and related offences,2017–18,46,1.3,New South Wales,Female
02 Acts intended to cause injury(e),2017–18,6562,187.9,New South Wales,Female
03 Sexual assault and related offences,2017–18,111,3.2,New South Wales,Female
04 Dangerous/negligent acts(f) ,2017–18,40,1.1,New South Wales,Female
05 Abduction/harassment(e),2017–18,185,5.3,New South Wales,Female
06 Robbery/extortion,2017–18,120,3.4,New South Wales,Female
07 Unlawful entry with intent,2017–18,322,9.2,New South Wales,Female
08 Theft(g),2017–18,4645,133,New South Wales,Female
Fare evasion,2017–18,6279,179.8,New South Wales,Female
09 Fraud/deception,2017–18,1287,36.9,New South Wales,Female
10 Illicit drug offences,2017–18,3499,100.2,New South Wales,Female
11 Weapons/explosives,2017–18,229,6.6,New South Wales,Female
12 Property damage and environmental pollution,2017–18,929,26.6,New South Wales,Female
13 Public order offences,2017–18,3091,88.5,New South Wales,Female
15 Offences against justice(h),2017–18,1129,32.3,New South Wales,Female
16 Miscellaneous offences,2017–18,572,16.4,New South Wales,Female
01 Homicide and related offences,2018–19,34,1,New South Wales,Female
02 Acts intended to cause injury(e),2018–19,7222,204,New South Wales,Female
03 Sexual assault and related offences,2018–19,108,3.1,New South Wales,Female
