Offence,Year,Number,Rate,State,Sex
Sexual assault and related offences,2014,1789.0,55.1,New South Wales,Male
Dangerous/negligent acts,2014,264.0,8.1,New South Wales,Male
Abduction/harassment,2014,856.0,26.4,New South Wales,Male
Robbery/extortion,2014,783.0,24.1,New South Wales,Male
Unlawful entry with intent,2014,2023.0,62.3,New South Wales,Male
Theft,2014,6110.0,188.1,New South Wales,Male
Fare evasion,2014,17573.0,541.1,New South Wales,Male
Fraud/deception,2014,3179.0,97.9,New South Wales,Male
Illicit drug offences,2014,13933.0,429.0,New South Wales,Male
Weapons/explosives,2014,1283.0,39.5,New South Wales,Male
Property damage and environmental pollution,2014,3838.0,118.2,New South Wales,Male
Public order offences,2014,14418.0,443.9,New South Wales,Male
Offences against justice,2014,4615.0,142.1,New South Wales,Male
Miscellaneous offences,2014,4981.0,153.4,New South Wales,Male
Homicide and related offences,2015,202.0,6.1,New South Wales,Male
Acts intended to cause injury,2015,23117.0,701.8,New South Wales,Male
Sexual assault and related offences,2015,1965.0,59.7,New South Wales,Male
Dangerous/negligent acts,2015,317.0,9.6,New South Wales,Male
Abduction/harassment,2015,870.0,26.4,New South Wales,Male
Robbery/extortion,2015,692.0,21.0,New South Wales,Male
Unlawful entry with intent,2015,2045.0,62.1,New South Wales,Male
Theft,2015,6439.0,195.5,New South Wales,Male
Fare evasion,2015,17958.0,545.2,New South Wales,Male
Fraud/deception,2015,2919.0,88.6,New South Wales,Male
Illicit drug offences,2015,14279.0,433.5,New South Wales,Male
Weapons/explosives,2015,1479.0,44.9,New South Wales,Male
Property damage and environmental pollution,2015,3817.0,115.9,New South Wales,Male
Public order offences,2015,14515.0,440.6,New South Wales,Male
Offences against justice,2015,4715.0,143.1,New South Wales,Male
Miscellaneous offences,2015,4633.0,140.6,New South Wales,Male
Homicide and related offences,2016,209.0,6.2,New South Wales,Male
Acts intended to cause injury,2016,23234.0,693.5,New South Wales,Male
Sexual assault and related offences,2016,2135.0,63.7,New South Wales,Male
Dangerous/negligent acts,2016,402.0,12.0,New South Wales,Male
Abduction/harassment,2016,841.0,25.1,New South Wales,Male
Robbery/extortion,2016,655.0,19.6,New South Wales,Male
Unlawful entry with intent,2016,2002.0,59.8,New South Wales,Male
Theft,2016,6427.0,191.8,New South Wales,Male
Fare evasion,2016,19449.0,580.6,New South Wales,Male
Fraud/deception,2016,2612.0,78.0,New South Wales,Male
Illicit drug offences,2016,14014.0,418.3,New South Wales,Male
Weapons/explosives,2016,1469.0,43.8,New South Wales,Male
Property damage and environmental pollution,2016,3683.0,109.9,New South Wales,Male
Public order offences,2016,14019.0,418.5,New South Wales,Male
Offences against justice,2016,4157.0,124.1,New South Wales,Male
Miscellaneous offences,2016,3909.0,116.7,New South Wales,Male
Homicide and related offences,2017,197.0,5.8,New South Wales,Male
