Offence,Year,Number,Rate,State,Sex
Public order offences,2016,7044.0,263.4,Victoria,Male
Offences against justice,2016,3697.0,138.2,Victoria,Male
Miscellaneous offences,2016,7094.0,265.3,Victoria,Male
Homicide and related offences,2017,137.0,5.0,Victoria,Male
Acts intended to cause injury,2017,14035.0,513.7,Victoria,Male
Sexual assault and related offences,2017,1596.0,58.4,Victoria,Male
Dangerous/negligent acts,2017,796.0,29.1,Victoria,Male
Abduction/harassment,2017,1311.0,48.0,Victoria,Male
Robbery/extortion,2017,525.0,19.2,Victoria,Male
Unlawful entry with intent,2017,1748.0,64.0,Victoria,Male
Theft,2017,4568.0,167.2,Victoria,Male
Fare evasion,2017,1713.0,62.7,Victoria,Male
Fraud/deception,2017,1554.0,56.9,Victoria,Male
Illicit drug offences,2017,6649.0,243.4,Victoria,Male
Weapons/explosives,2017,4731.0,173.2,Victoria,Male
Property damage and environmental pollution,2017,2669.0,97.7,Victoria,Male
Public order offences,2017,8957.0,327.9,Victoria,Male
Offences against justice,2017,3767.0,137.9,Victoria,Male
Miscellaneous offences,2017,6562.0,240.2,Victoria,Male
Homicide and related offences,2018,123.0,4.4,Victoria,Male
Acts intended to cause injury,2018,13920.0,498.5,Victoria,Male
Sexual assault and related offences,2018,1658.0,59.4,Victoria,Male
Dangerous/negligent acts,2018,800.0,28.6,Victoria,Male
Abduction/harassment,2018,1394.0,49.9,Victoria,Male
Robbery/extortion,2018,564.0,20.2,Victoria,Male
Unlawful entry with intent,2018,1602.0,57.4,Victoria,Male
Theft,2018,4808.0,172.2,Victoria,Male
Fare evasion,2018,1482.0,53.1,Victoria,Male
Fraud/deception,2018,1671.0,59.8,Victoria,Male
Illicit drug offences,2018,7340.0,262.9,Victoria,Male
Weapons/explosives,2018,4819.0,172.6,Victoria,Male
Property damage and environmental pollution,2018,2472.0,88.5,Victoria,Male
Public order offences,2018,7675.0,274.8,Victoria,Male
Offences against justice,2018,3958.0,141.7,Victoria,Male
Miscellaneous offences,2018,5356.0,191.8,Victoria,Male
Homicide and related offences,2019,126.0,4.4,Victoria,Male
Acts intended to cause injury,2019,13737.0,482.5,Victoria,Male
Sexual assault and related offences,2019,1617.0,56.8,Victoria,Male
Dangerous/negligent acts,2019,760.0,26.7,Victoria,Male
Abduction/harassment,2019,1462.0,51.4,Victoria,Male
Robbery/extortion,2019,683.0,24.0,Victoria,Male
Unlawful entry with intent,2019,1532.0,53.8,Victoria,Male
Theft,2019,4849.0,170.3,Victoria,Male
Fare evasion,2019,1010.0,35.5,Victoria,Male
Fraud/deception,2019,1670.0,58.7,Victoria,Male
Illicit drug offences,2019,7646.0,268.6,Victoria,Male
Weapons/explosives,2019,4789.0,168.2,Victoria,Male
Property damage and environmental pollution,2019,2331.0,81.9,Victoria,Male
Public order offences,2019,5360.0,188.3,Victoria,Male
Offences against justice,2019,4229.0,148.5,Victoria,Male
Miscellaneous offences,2019,6111.0,214.7,Victoria,Male
Homicide and related offences,2020,131.0,4.6,Victoria,Male
Acts intended to cause injury,2020,13898.0,489.5,Victoria,Male
Sexual assault and related offences,2020,1532.0,54.0,Victoria,Male
Dangerous/negligent acts,2020,767.0,27.0,Victoria,Male
Abduction/harassment,2020,1598.0,56.3,Victoria,Male
Robbery/extortion,2020,379.0,13.3,Victoria,Male
Unlawful entry with intent,2020,1308.0,46.1,Victoria,Male
Theft,2020,3617.0,127.4,Victoria,Male
Fare evasion,2020,516.0,18.2,Victoria,Male
Fraud/deception,2020,1485.0,52.3,Victoria,Male
Illicit drug offences,2020,6464.0,227.7,Victoria,Male
Weapons/explosives,2020,4533.0,159.7,Victoria,Male
Property damage and environmental pollution,2020,2279.0,80.3,Victoria,Male
Public order offences,2020,3544.0,124.8,Victoria,Male
Offences against justice,2020,3914.0,137.9,Victoria,Male
Miscellaneous offences,2020,14586.0,513.7,Victoria,Male
Homicide and related offences,2021,103.0,3.6,Victoria,Male
Acts intended to cause injury,2021,13482.0,475.2,Victoria,Male
Sexual assault and related offences,2021,1593.0,56.2,Victoria,Male
Dangerous/negligent acts,2021,823.0,29.0,Victoria,Male
Abduction/harassment,2021,1523.0,53.7,Victoria,Male
Robbery/extortion,2021,434.0,15.3,Victoria,Male
Unlawful entry with intent,2021,1261.0,44.4,Victoria,Male
Theft,2021,3677.0,129.6,Victoria,Male
Fare evasion,2021,475.0,16.7,Victoria,Male
Fraud/deception,2021,1265.0,44.6,Victoria,Male
Illicit drug offences,2021,5852.0,206.3,Victoria,Male
Weapons/explosives,2021,4398.0,155.0,Victoria,Male
Property damage and environmental pollution,2021,2468.0,87.0,Victoria,Male
Public order offences,2021,3424.0,120.7,Victoria,Male
Offences against justice,2021,4173.0,147.1,Victoria,Male
Miscellaneous offences,2021,13082.0,461.1,Victoria,Male
Homicide and related offences,2022,114.0,3.9,Victoria,Male
Acts intended to cause injury,2022,13825.0,474.8,Victoria,Male
Sexual assault and related offences,2022,1572.0,54.0,Victoria,Male
Dangerous/negligent acts,2022,721.0,24.8,Victoria,Male
Abduction/harassment,2022,1527.0,52.4,Victoria,Male
Robbery/extortion,2022,621.0,21.3,Victoria,Male
Unlawful entry with intent,2022,1310.0,45.0,Victoria,Male
Theft,2022,4206.0,144.5,Victoria,Male
Fare evasion,2022,990.0,34.0,Victoria,Male
Fraud/deception,2022,1546.0,53.1,Victoria,Male
Illicit drug offences,2022,5821.0,199.9,Victoria,Male
Weapons/explosives,2022,4465.0,153.4,Victoria,Male
Property damage and environmental pollution,2022,2487.0,85.4,Victoria,Male
Public order offences,2022,3971.0,136.4,Victoria,Male
Offences against justice,2022,4391.0,150.8,Victoria,Male
Miscellaneous offences,2022,3532.0,121.3,Victoria,Male
Homicide and related offences,2023,110.0,3.7,Victoria,Male
Acts intended to cause injury,2023,13641.0,453.8,Victoria,Male
Sexual assault and related offences,2023,1649.0,54.9,Victoria,Male
Dangerous/negligent acts,2023,675.0,22.5,Victoria,Male
Abduction/harassment,2023,807.0,26.8,Victoria,Male
Robbery/extortion,2023,616.0,20.5,Victoria,Male
Unlawful entry with intent,2023,1274.0,42.4,Victoria,Male
Theft,2023,4217.0,140.3,Victoria,Male
Fare evasion,2023,921.0,30.6,Victoria,Male
Fraud/deception,2023,1519.0,50.5,Victoria,Male
Illicit drug offences,2023,5625.0,187.1,Victoria,Male
Weapons/explosives,2023,4320.0,143.7,Victoria,Male
Property damage and environmental pollution,2023,2351.0,78.2,Victoria,Male
Public order offences,2023,2746.0,91.4,Victoria,Male
Offences against justice,2023,4623.0,153.8,Victoria,Male
Miscellaneous offences,2023,2644.0,88.0,Victoria,Male
Homicide and related offences,2024,117.0,3.8,Victoria,Male
Acts intended to cause injury,2024,14340.0,470.4,Victoria,Male
Sexual assault and related offences,2024,1669.0,54.7,Victoria,Male
Dangerous/negligent acts,2024,605.0,19.8,Victoria,Male
Abduction/harassment,2024,853.0,28.0,Victoria,Male
Robbery/extortion,2024,632.0,20.7,Victoria,Male
Unlawful entry with intent,2024,1275.0,41.8,Victoria,Male
Theft,2024,4434.0,145.4,Victoria,Male
Fare evasion,2024,652.0,21.4,Victoria,Male
Fraud/deception,2024,1524.0,50.0,Victoria,Male
Illicit drug offences,2024,5003.0,164.1,Victoria,Male
Weapons/explosives,2024,4319.0,141.7,Victoria,Male
Property damage and environmental pollution,2024,2401.0,78.8,Victoria,Male
Public order offences,2024,1941.0,63.7,Victoria,Male
Offences against justice,2024,4826.0,158.3,Victoria,Male
Miscellaneous offences,2024,1577.0,51.7,Victoria,Male
Homicide and related offences,2008,16.0,0.7,Victoria,Female
Acts intended to cause injury,2008,2151.0,91.2,Victoria,Female
Sexual assault and related offences,2008,45.0,1.9,Victoria,Female
Dangerous/negligent acts,2008,91.0,3.9,Victoria,Female
Abduction/harassment,2008,91.0,3.9,Victoria,Female
Robbery/extortion,2008,69.0,2.9,Victoria,Female
Unlawful entry with intent,2008,386.0,16.4,Victoria,Female
Theft,2008,6303.0,267.2,Victoria,Female
Fraud/deception,2008,756.0,32.0,Victoria,Female
Illicit drug offences,2008,1157.0,49.0,Victoria,Female
Weapons/explosives,2008,256.0,10.9,Victoria,Female
Property damage and environmental pollution,2008,630.0,26.7,Victoria,Female
Public order offences,2008,1196.0,50.7,Victoria,Female
Offences against justice,2008,396.0,16.8,Victoria,Female
Miscellaneous offences,2008,858.0,36.4,Victoria,Female
Homicide and related offences,2009,28.0,1.2,Victoria,Female
Acts intended to cause injury,2009,2268.0,94.2,Victoria,Female
Sexual assault and related offences,2009,37.0,1.5,Victoria,Female
Dangerous/negligent acts,2009,100.0,4.2,Victoria,Female
Abduction/harassment,2009,130.0,5.4,Victoria,Female
Robbery/extortion,2009,54.0,2.2,Victoria,Female
Unlawful entry with intent,2009,424.0,17.6,Victoria,Female
Theft,2009,6758.0,280.8,Victoria,Female
Fraud/deception,2009,698.0,29.0,Victoria,Female
Illicit drug offences,2009,1091.0,45.3,Victoria,Female
Weapons/explosives,2009,239.0,9.9,Victoria,Female
Property damage and environmental pollution,2009,643.0,26.7,Victoria,Female
Public order offences,2009,1884.0,78.3,Victoria,Female
Offences against justice,2009,477.0,19.8,Victoria,Female
Miscellaneous offences,2009,1134.0,47.1,Victoria,Female
Homicide and related offences,2010,6.0,0.2,Victoria,Female
Acts intended to cause injury,2010,2372.0,97.1,Victoria,Female
Sexual assault and related offences,2010,28.0,1.1,Victoria,Female
Dangerous/negligent acts,2010,107.0,4.4,Victoria,Female
Abduction/harassment,2010,106.0,4.3,Victoria,Female
Robbery/extortion,2010,71.0,2.9,Victoria,Female
Unlawful entry with intent,2010,404.0,16.5,Victoria,Female
Theft,2010,6312.0,258.3,Victoria,Female
Fraud/deception,2010,600.0,24.6,Victoria,Female
Illicit drug offences,2010,1156.0,47.3,Victoria,Female
Weapons/explosives,2010,305.0,12.5,Victoria,Female
Property damage and environmental pollution,2010,610.0,25.0,Victoria,Female
Public order offences,2010,2027.0,83.0,Victoria,Female
Offences against justice,2010,460.0,18.8,Victoria,Female
Miscellaneous offences,2010,1600.0,65.5,Victoria,Female
Homicide and related offences,2011,20.0,0.8,Victoria,Female
Acts intended to cause injury,2011,2496.0,100.4,Victoria,Female
Sexual assault and related offences,2011,47.0,1.9,Victoria,Female
Dangerous/negligent acts,2011,120.0,4.8,Victoria,Female
Abduction/harassment,2011,133.0,5.3,Victoria,Female
Robbery/extortion,2011,60.0,2.4,Victoria,Female
Unlawful entry with intent,2011,373.0,15.0,Victoria,Female
Theft,2011,6211.0,249.7,Victoria,Female
Fraud/deception,2011,628.0,25.2,Victoria,Female
Illicit drug offences,2011,1300.0,52.3,Victoria,Female
Weapons/explosives,2011,330.0,13.3,Victoria,Female
Property damage and environmental pollution,2011,601.0,24.2,Victoria,Female
Public order offences,2011,1762.0,70.8,Victoria,Female
Offences against justice,2011,545.0,21.9,Victoria,Female
Miscellaneous offences,2011,2005.0,80.6,Victoria,Female
Homicide and related offences,2012,14.0,0.6,Victoria,Female
Acts intended to cause injury,2012,2845.0,112.2,Victoria,Female
Sexual assault and related offences,2012,58.0,2.3,Victoria,Female
Dangerous/negligent acts,2012,110.0,4.3,Victoria,Female
Abduction/harassment,2012,160.0,6.3,Victoria,Female
Robbery/extortion,2012,87.0,3.4,Victoria,Female
Unlawful entry with intent,2012,352.0,13.9,Victoria,Female
Theft,2012,5952.0,234.7,Victoria,Female
Fraud/deception,2012,792.0,31.2,Victoria,Female
Illicit drug offences,2012,1465.0,57.8,Victoria,Female
Weapons/explosives,2012,411.0,16.2,Victoria,Female
Property damage and environmental pollution,2012,633.0,25.0,Victoria,Female
Public order offences,2012,1892.0,74.6,Victoria,Female
Offences against justice,2012,617.0,24.3,Victoria,Female
Miscellaneous offences,2012,2726.0,107.5,Victoria,Female
Homicide and related offences,2013,19.0,0.7,Victoria,Female
Acts intended to cause injury,2013,2969.0,114.6,Victoria,Female
Sexual assault and related offences,2013,73.0,2.8,Victoria,Female
Dangerous/negligent acts,2013,118.0,4.6,Victoria,Female
Abduction/harassment,2013,192.0,7.4,Victoria,Female
Robbery/extortion,2013,81.0,3.1,Victoria,Female
Unlawful entry with intent,2013,370.0,14.3,Victoria,Female
Theft,2013,5063.0,195.4,Victoria,Female
Fraud/deception,2013,783.0,30.2,Victoria,Female
Illicit drug offences,2013,1607.0,62.0,Victoria,Female
Weapons/explosives,2013,479.0,18.5,Victoria,Female
Property damage and environmental pollution,2013,629.0,24.3,Victoria,Female
Public order offences,2013,1668.0,64.4,Victoria,Female
Offences against justice,2013,648.0,25.0,Victoria,Female
Miscellaneous offences,2013,2150.0,83.0,Victoria,Female
Homicide and related offences,2014,13.0,0.5,Victoria,Female
Acts intended to cause injury,2014,3108.0,117.5,Victoria,Female
Sexual assault and related offences,2014,50.0,1.9,Victoria,Female
Dangerous/negligent acts,2014,145.0,5.5,Victoria,Female
Abduction/harassment,2014,235.0,8.9,Victoria,Female
Robbery/extortion,2014,57.0,2.2,Victoria,Female
Unlawful entry with intent,2014,350.0,13.2,Victoria,Female
Theft,2014,3518.0,133.0,Victoria,Female
Fare evasion,2014,442.0,16.7,Victoria,Female
Fraud/deception,2014,783.0,29.6,Victoria,Female
Illicit drug offences,2014,2018.0,76.3,Victoria,Female
Weapons/explosives,2014,571.0,21.6,Victoria,Female
Property damage and environmental pollution,2014,598.0,22.6,Victoria,Female
Public order offences,2014,1503.0,56.8,Victoria,Female
Offences against justice,2014,764.0,28.9,Victoria,Female
Miscellaneous offences,2014,2005.0,75.8,Victoria,Female
Homicide and related offences,2015,26.0,1.0,Victoria,Female
Acts intended to cause injury,2015,3269.0,120.9,Victoria,Female
Sexual assault and related offences,2015,64.0,2.4,Victoria,Female
Dangerous/negligent acts,2015,127.0,4.7,Victoria,Female
Abduction/harassment,2015,268.0,9.9,Victoria,Female
Robbery/extortion,2015,55.0,2.0,Victoria,Female
Unlawful entry with intent,2015,369.0,13.6,Victoria,Female
Theft,2015,3581.0,132.4,Victoria,Female
Fare evasion,2015,345.0,12.8,Victoria,Female
Fraud/deception,2015,789.0,29.2,Victoria,Female
Illicit drug offences,2015,1950.0,72.1,Victoria,Female
Weapons/explosives,2015,676.0,25.0,Victoria,Female
Property damage and environmental pollution,2015,610.0,22.6,Victoria,Female
Public order offences,2015,1216.0,45.0,Victoria,Female
Offences against justice,2015,786.0,29.1,Victoria,Female
Miscellaneous offences,2015,1800.0,66.6,Victoria,Female
Homicide and related offences,2016,27.0,1.0,Victoria,Female
Acts intended to cause injury,2016,3343.0,120.8,Victoria,Female
Sexual assault and related offences,2016,81.0,2.9,Victoria,Female
Dangerous/negligent acts,2016,157.0,5.7,Victoria,Female
Abduction/harassment,2016,259.0,9.4,Victoria,Female
Robbery/extortion,2016,62.0,2.2,Victoria,Female
Unlawful entry with intent,2016,375.0,13.6,Victoria,Female
Theft,2016,3713.0,134.2,Victoria,Female
Fare evasion,2016,297.0,10.7,Victoria,Female
Fraud/deception,2016,840.0,30.4,Victoria,Female
Illicit drug offences,2016,1939.0,70.1,Victoria,Female
Weapons/explosives,2016,687.0,24.8,Victoria,Female
Property damage and environmental pollution,2016,620.0,22.4,Victoria,Female
Public order offences,2016,1278.0,46.2,Victoria,Female
Offences against justice,2016,866.0,31.3,Victoria,Female
Miscellaneous offences,2016,1305.0,47.2,Victoria,Female
Homicide and related offences,2017,18.0,0.6,Victoria,Female
Acts intended to cause injury,2017,3378.0,119.6,Victoria,Female
Sexual assault and related offences,2017,81.0,2.9,Victoria,Female
Dangerous/negligent acts,2017,162.0,5.7,Victoria,Female
Abduction/harassment,2017,264.0,9.3,Victoria,Female
Robbery/extortion,2017,87.0,3.1,Victoria,Female
Unlawful entry with intent,2017,359.0,12.7,Victoria,Female
Theft,2017,3437.0,121.7,Victoria,Female
Fare evasion,2017,294.0,10.4,Victoria,Female
Fraud/deception,2017,856.0,30.3,Victoria,Female
Illicit drug offences,2017,1931.0,68.4,Victoria,Female
Weapons/explosives,2017,886.0,31.4,Victoria,Female
Property damage and environmental pollution,2017,609.0,21.6,Victoria,Female
Public order offences,2017,1562.0,55.3,Victoria,Female
Offences against justice,2017,980.0,34.7,Victoria,Female
Miscellaneous offences,2017,1039.0,36.8,Victoria,Female
Homicide and related offences,2018,17.0,0.6,Victoria,Female
Acts intended to cause injury,2018,3500.0,121.5,Victoria,Female
Sexual assault and related offences,2018,83.0,2.9,Victoria,Female
Dangerous/negligent acts,2018,149.0,5.2,Victoria,Female
Abduction/harassment,2018,322.0,11.2,Victoria,Female
Robbery/extortion,2018,107.0,3.7,Victoria,Female
Unlawful entry with intent,2018,374.0,13.0,Victoria,Female
Theft,2018,3814.0,132.4,Victoria,Female
Fare evasion,2018,307.0,10.7,Victoria,Female
Fraud/deception,2018,870.0,30.2,Victoria,Female
Illicit drug offences,2018,2045.0,71.0,Victoria,Female
Weapons/explosives,2018,938.0,32.6,Victoria,Female
Property damage and environmental pollution,2018,559.0,19.4,Victoria,Female
Public order offences,2018,1375.0,47.7,Victoria,Female
Offences against justice,2018,1083.0,37.6,Victoria,Female
Miscellaneous offences,2018,814.0,28.3,Victoria,Female
Homicide and related offences,2019,20.0,0.7,Victoria,Female
Acts intended to cause injury,2019,3431.0,116.9,Victoria,Female
Sexual assault and related offences,2019,73.0,2.5,Victoria,Female
Dangerous/negligent acts,2019,151.0,5.1,Victoria,Female
Abduction/harassment,2019,307.0,10.5,Victoria,Female
Robbery/extortion,2019,120.0,4.1,Victoria,Female
Unlawful entry with intent,2019,344.0,11.7,Victoria,Female
Theft,2019,3476.0,118.5,Victoria,Female
Fare evasion,2019,261.0,8.9,Victoria,Female
Fraud/deception,2019,876.0,29.9,Victoria,Female
Illicit drug offences,2019,2258.0,77.0,Victoria,Female
Weapons/explosives,2019,912.0,31.1,Victoria,Female
Property damage and environmental pollution,2019,535.0,18.2,Victoria,Female
Public order offences,2019,889.0,30.3,Victoria,Female
Offences against justice,2019,1097.0,37.4,Victoria,Female
Miscellaneous offences,2019,1523.0,51.9,Victoria,Female
Homicide and related offences,2020,31.0,1.1,Victoria,Female
Acts intended to cause injury,2020,3447.0,117.6,Victoria,Female
Sexual assault and related offences,2020,85.0,2.9,Victoria,Female
Dangerous/negligent acts,2020,123.0,4.2,Victoria,Female
Abduction/harassment,2020,328.0,11.2,Victoria,Female
Robbery/extortion,2020,106.0,3.6,Victoria,Female
Unlawful entry with intent,2020,291.0,9.9,Victoria,Female
Theft,2020,2453.0,83.7,Victoria,Female
Fare evasion,2020,111.0,3.8,Victoria,Female
Fraud/deception,2020,727.0,24.8,Victoria,Female
Illicit drug offences,2020,2129.0,72.6,Victoria,Female
Weapons/explosives,2020,792.0,27.0,Victoria,Female
Property damage and environmental pollution,2020,577.0,19.7,Victoria,Female
Public order offences,2020,657.0,22.4,Victoria,Female
Offences against justice,2020,1032.0,35.2,Victoria,Female
Miscellaneous offences,2020,5104.0,174.1,Victoria,Female
Homicide and related offences,2021,14.0,0.5,Victoria,Female
Acts intended to cause injury,2021,3540.0,120.8,Victoria,Female
Sexual assault and related offences,2021,82.0,2.8,Victoria,Female
Dangerous/negligent acts,2021,117.0,4.0,Victoria,Female
Abduction/harassment,2021,332.0,11.3,Victoria,Female
Robbery/extortion,2021,63.0,2.1,Victoria,Female
Unlawful entry with intent,2021,342.0,11.7,Victoria,Female
Theft,2021,2247.0,76.7,Victoria,Female
Fare evasion,2021,107.0,3.7,Victoria,Female
Fraud/deception,2021,639.0,21.8,Victoria,Female
Illicit drug offences,2021,1897.0,64.7,Victoria,Female
Weapons/explosives,2021,699.0,23.9,Victoria,Female
Property damage and environmental pollution,2021,598.0,20.4,Victoria,Female
Public order offences,2021,677.0,23.1,Victoria,Female
Offences against justice,2021,1030.0,35.1,Victoria,Female
Miscellaneous offences,2021,4375.0,149.3,Victoria,Female
Homicide and related offences,2022,15.0,0.5,Victoria,Female
Acts intended to cause injury,2022,3780.0,125.8,Victoria,Female
Sexual assault and related offences,2022,111.0,3.7,Victoria,Female
Dangerous/negligent acts,2022,129.0,4.3,Victoria,Female
Abduction/harassment,2022,381.0,12.7,Victoria,Female
Robbery/extortion,2022,129.0,4.3,Victoria,Female
Unlawful entry with intent,2022,345.0,11.5,Victoria,Female
Theft,2022,2970.0,98.8,Victoria,Female
Fare evasion,2022,198.0,6.6,Victoria,Female
Fraud/deception,2022,680.0,22.6,Victoria,Female
Illicit drug offences,2022,1935.0,64.4,Victoria,Female
Weapons/explosives,2022,808.0,26.9,Victoria,Female
Property damage and environmental pollution,2022,681.0,22.7,Victoria,Female
Public order offences,2022,802.0,26.7,Victoria,Female
Offences against justice,2022,1104.0,36.7,Victoria,Female
Miscellaneous offences,2022,521.0,17.3,Victoria,Female
Homicide and related offences,2023,13.0,0.4,Victoria,Female
Acts intended to cause injury,2023,3930.0,126.7,Victoria,Female
Sexual assault and related offences,2023,115.0,3.7,Victoria,Female
Dangerous/negligent acts,2023,100.0,3.2,Victoria,Female
Abduction/harassment,2023,194.0,6.3,Victoria,Female
Robbery/extortion,2023,90.0,2.9,Victoria,Female
Unlawful entry with intent,2023,338.0,10.9,Victoria,Female
Theft,2023,2812.0,90.7,Victoria,Female
Fare evasion,2023,180.0,5.8,Victoria,Female
Fraud/deception,2023,668.0,21.5,Victoria,Female
Illicit drug offences,2023,1852.0,59.7,Victoria,Female
Weapons/explosives,2023,716.0,23.1,Victoria,Female
Property damage and environmental pollution,2023,654.0,21.1,Victoria,Female
Public order offences,2023,584.0,18.8,Victoria,Female
Offences against justice,2023,1119.0,36.1,Victoria,Female
Miscellaneous offences,2023,433.0,14.0,Victoria,Female
Homicide and related offences,2024,14.0,0.4,Victoria,Female
Acts intended to cause injury,2024,3997.0,126.5,Victoria,Female
Sexual assault and related offences,2024,120.0,3.8,Victoria,Female
Dangerous/negligent acts,2024,98.0,3.1,Victoria,Female
Abduction/harassment,2024,217.0,6.9,Victoria,Female
Robbery/extortion,2024,113.0,3.6,Victoria,Female
Unlawful entry with intent,2024,324.0,10.3,Victoria,Female
Theft,2024,2899.0,91.8,Victoria,Female
Fare evasion,2024,142.0,4.5,Victoria,Female
Fraud/deception,2024,601.0,19.0,Victoria,Female
Illicit drug offences,2024,1686.0,53.4,Victoria,Female
Weapons/explosives,2024,680.0,21.5,Victoria,Female
Property damage and environmental pollution,2024,617.0,19.5,Victoria,Female
Public order offences,2024,472.0,14.9,Victoria,Female
Offences against justice,2024,1188.0,37.6,Victoria,Female
Miscellaneous offences,2024,248.0,7.9,Victoria,Female
Homicide and related offences,2008,160.0,3.4,Victoria,Unknown
Acts intended to cause injury,2008,12107.0,260.1,Victoria,Unknown
Sexual assault and related offences,2008,1290.0,27.7,Victoria,Unknown
Dangerous/negligent acts,2008,667.0,14.3,Victoria,Unknown
Abduction/harassment,2008,632.0,13.6,Victoria,Unknown
Robbery/extortion,2008,468.0,10.1,Victoria,Unknown
Unlawful entry with intent,2008,3147.0,67.6,Victoria,Unknown
Theft,2008,15494.0,332.8,Victoria,Unknown
Fraud/deception,2008,2251.0,48.4,Victoria,Unknown
Illicit drug offences,2008,6639.0,142.6,Victoria,Unknown
Weapons/explosives,2008,2616.0,56.2,Victoria,Unknown
Property damage and environmental pollution,2008,3936.0,84.6,Victoria,Unknown
Public order offences,2008,7797.0,167.5,Victoria,Unknown
Offences against justice,2008,1758.0,37.8,Victoria,Unknown
Miscellaneous offences,2008,8488.0,182.3,Victoria,Unknown
Homicide and related offences,2009,146.0,3.1,Victoria,Unknown
Acts intended to cause injury,2009,12406.0,261.2,Victoria,Unknown
Sexual assault and related offences,2009,1330.0,28.0,Victoria,Unknown
Dangerous/negligent acts,2009,732.0,15.4,Victoria,Unknown
Abduction/harassment,2009,755.0,15.9,Victoria,Unknown
Robbery/extortion,2009,481.0,10.1,Victoria,Unknown
Unlawful entry with intent,2009,2970.0,62.5,Victoria,Unknown
Theft,2009,16430.0,345.9,Victoria,Unknown
Fraud/deception,2009,2188.0,46.1,Victoria,Unknown
Illicit drug offences,2009,6734.0,141.8,Victoria,Unknown
Weapons/explosives,2009,2482.0,52.3,Victoria,Unknown
Property damage and environmental pollution,2009,3957.0,83.3,Victoria,Unknown
Public order offences,2009,14149.0,297.9,Victoria,Unknown
Offences against justice,2009,2158.0,45.4,Victoria,Unknown
Miscellaneous offences,2009,9497.0,200.0,Victoria,Unknown
Homicide and related offences,2010,102.0,2.1,Victoria,Unknown
Acts intended to cause injury,2010,12311.0,255.6,Victoria,Unknown
Sexual assault and related offences,2010,1193.0,24.8,Victoria,Unknown
Dangerous/negligent acts,2010,763.0,15.8,Victoria,Unknown
Abduction/harassment,2010,726.0,15.1,Victoria,Unknown
Robbery/extortion,2010,522.0,10.8,Victoria,Unknown
Unlawful entry with intent,2010,2841.0,59.0,Victoria,Unknown
Theft,2010,16467.0,341.9,Victoria,Unknown
Fraud/deception,2010,1907.0,39.6,Victoria,Unknown
Illicit drug offences,2010,6583.0,136.7,Victoria,Unknown
Weapons/explosives,2010,2491.0,51.7,Victoria,Unknown
Property damage and environmental pollution,2010,3786.0,78.6,Victoria,Unknown
Public order offences,2010,15173.0,315.0,Victoria,Unknown
Offences against justice,2010,2285.0,47.4,Victoria,Unknown
Miscellaneous offences,2010,10994.0,228.3,Victoria,Unknown
Homicide and related offences,2011,118.0,2.4,Victoria,Unknown
Acts intended to cause injury,2011,13107.0,267.6,Victoria,Unknown
Sexual assault and related offences,2011,1387.0,28.3,Victoria,Unknown
Dangerous/negligent acts,2011,821.0,16.8,Victoria,Unknown
Abduction/harassment,2011,872.0,17.8,Victoria,Unknown
Robbery/extortion,2011,547.0,11.2,Victoria,Unknown
Unlawful entry with intent,2011,2620.0,53.5,Victoria,Unknown
Theft,2011,17457.0,356.5,Victoria,Unknown
Fraud/deception,2011,2029.0,41.4,Victoria,Unknown
Illicit drug offences,2011,7604.0,155.3,Victoria,Unknown
Weapons/explosives,2011,2873.0,58.7,Victoria,Unknown
Property damage and environmental pollution,2011,3657.0,74.7,Victoria,Unknown
Public order offences,2011,13314.0,271.9,Victoria,Unknown
Offences against justice,2011,2886.0,58.9,Victoria,Unknown
Miscellaneous offences,2011,12442.0,254.1,Victoria,Unknown
Homicide and related offences,2012,128.0,2.6,Victoria,Unknown
Acts intended to cause injury,2012,15319.0,306.7,Victoria,Unknown
Sexual assault and related offences,2012,1395.0,27.9,Victoria,Unknown
Dangerous/negligent acts,2012,813.0,16.3,Victoria,Unknown
Abduction/harassment,2012,1056.0,21.1,Victoria,Unknown
Robbery/extortion,2012,547.0,11.0,Victoria,Unknown
Unlawful entry with intent,2012,2385.0,47.8,Victoria,Unknown
Theft,2012,15667.0,313.7,Victoria,Unknown
Fraud/deception,2012,2465.0,49.4,Victoria,Unknown
Illicit drug offences,2012,8344.0,167.1,Victoria,Unknown
Weapons/explosives,2012,3474.0,69.6,Victoria,Unknown
Property damage and environmental pollution,2012,3737.0,74.8,Victoria,Unknown
Public order offences,2012,13480.0,269.9,Victoria,Unknown
Offences against justice,2012,3187.0,63.8,Victoria,Unknown
Miscellaneous offences,2012,15691.0,314.2,Victoria,Unknown
Homicide and related offences,2013,120.0,2.4,Victoria,Unknown
Acts intended to cause injury,2013,16238.0,318.6,Victoria,Unknown
Sexual assault and related offences,2013,1566.0,30.7,Victoria,Unknown
Dangerous/negligent acts,2013,855.0,16.8,Victoria,Unknown
Abduction/harassment,2013,1213.0,23.8,Victoria,Unknown
Robbery/extortion,2013,520.0,10.2,Victoria,Unknown
Unlawful entry with intent,2013,2275.0,44.6,Victoria,Unknown
Theft,2013,13135.0,257.7,Victoria,Unknown
Fraud/deception,2013,2382.0,46.7,Victoria,Unknown
Illicit drug offences,2013,8676.0,170.2,Victoria,Unknown
Weapons/explosives,2013,3748.0,73.5,Victoria,Unknown
